Point,IDT_ms,X_Fuel,X_N2,P,T,Formula_C,n-C9,n-C14,n-C15,n-C18,mono-c-C12,mono-c-C15,poly-c-C14,poly-c-C15,aro-C11,aro-C13,Set,IDT_ms_pred
36,0.013,1.25,78.01,10.14,1439.4,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.049599999999999936
38,0.957,2.47,77.05,1.97,1194.0,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.8914000000000004
39,0.827,2.47,77.05,1.98,1246.0,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.67815
40,0.448,2.47,77.05,2.08,1325.5,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.3560750000000002
41,0.208,2.47,77.05,2.08,1426.7,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.14785000000000004
42,0.163,2.47,77.05,1.93,1477.1,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.11685
43,0.081,2.47,77.05,2.0,1553.6,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.07485000000000001
44,1.81,2.47,77.05,11.1,1041.4,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,1.4514700000000005
45,0.916,2.47,77.05,9.55,1080.8,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,1.0385999999999997
47,0.198,2.47,77.05,10.24,1211.5,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.24170000000000016
49,0.067,2.47,77.05,9.3,1356.6,11.09,1.917346145,1.587329303,0.535539797,0.011447213,6.728348951,1.73157586,0.771341583,0.289584147,1.409193067,0.686978125,Training,0.07320000000000003
50,1.335,0.65,78.48,2.03,1158.8,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,1.1595500000000003
53,0.389,0.65,78.48,1.9,1266.4,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.43869999999999987
55,0.149,0.65,78.48,1.96,1386.9,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.16705
57,0.058,0.65,78.48,1.99,1498.1,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.0807
60,0.799,0.65,78.48,10.2,1110.7,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.8263599999999999
61,0.345,0.65,78.48,9.57,1172.9,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.41274999999999995
63,0.156,0.65,78.48,10.67,1251.4,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.19989499999999993
66,0.04,0.65,78.48,10.56,1363.2,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.07599750000000001
68,2.042,1.3,77.98,1.98,1085.9,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,1.5535250000000003
71,0.959,1.3,77.98,1.91,1137.5,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,1.1903750000000004
73,0.584,1.3,77.98,1.91,1273.7,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.43504999999999994
75,0.297,1.3,77.98,2.05,1368.0,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.22227499999999997
77,0.142,1.3,77.98,1.92,1471.3,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.12197500000000001
78,0.071,1.3,77.98,2.04,1519.8,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.07202500000000005
79,0.056,1.3,77.98,2.0,1600.7,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.064075
80,0.035,1.3,77.98,1.96,1683.8,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.06407500000000002
82,1.237,1.3,77.98,9.69,1058.1,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,1.4072550000000008
85,0.371,1.3,77.98,10.31,1124.9,11.3,0.749021067,0.89719832,0.076294116,0.0,6.158590143,0.156115339,3.107687167,0.045571229,0.071082137,0.351889773,Training,0.649725
