Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,PHI,Set
54,0.204,0.65,20.86,78.48,2.07,1345.5,0.5,Validation
55,0.149,0.65,20.86,78.48,1.96,1386.9,0.5,Validation
56,0.12,0.65,20.86,78.48,1.97,1432.7,0.5,Training
57,0.058,0.65,20.86,78.48,1.99,1498.1,0.5,Validation
58,0.059,0.65,20.86,78.48,2.02,1513.3,0.5,Validation
59,1.7,0.65,20.86,78.48,10.16,1076.9,0.5,Validation
60,0.799,0.65,20.86,78.48,10.2,1110.7,0.5,Validation
61,0.345,0.65,20.86,78.48,9.57,1172.9,0.5,Training
62,0.193,0.65,20.86,78.48,10.48,1236.1,0.5,Validation
63,0.156,0.65,20.86,78.48,10.67,1251.4,0.5,Validation
64,0.096,0.65,20.86,78.48,9.82,1289.3,0.5,Training
66,0.04,0.65,20.86,78.48,10.56,1363.2,0.5,Validation
67,0.039,0.65,20.86,78.48,10.5,1373.9,0.5,Validation
68,2.042,1.3,20.73,77.98,1.98,1085.9,1.0,Training
69,1.335,1.3,20.73,77.98,2.06,1115.5,1.0,Training
70,1.188,1.3,20.73,77.98,2.09,1128.0,1.0,Validation
71,0.959,1.3,20.73,77.98,1.91,1137.5,1.0,Training
72,0.661,1.3,20.73,77.98,2.02,1206.8,1.0,Validation
73,0.584,1.3,20.73,77.98,1.91,1273.7,1.0,Validation
74,0.467,1.3,20.73,77.98,1.93,1282.0,1.0,Training
75,0.297,1.3,20.73,77.98,2.05,1368.0,1.0,Validation
76,0.186,1.3,20.73,77.98,2.01,1414.8,1.0,Validation
77,0.142,1.3,20.73,77.98,1.92,1471.3,1.0,Training
79,0.056,1.3,20.73,77.98,2.0,1600.7,1.0,Validation
80,0.035,1.3,20.73,77.98,1.96,1683.8,1.0,Training
81,1.493,1.3,20.73,77.98,10.69,1028.1,1.0,Training
82,1.237,1.3,20.73,77.98,9.69,1058.1,1.0,Validation
83,0.602,1.3,20.73,77.98,10.37,1090.2,1.0,Validation
84,0.399,1.3,20.73,77.98,10.89,1114.9,1.0,Validation
85,0.371,1.3,20.73,77.98,10.31,1124.9,1.0,Training
86,0.242,1.3,20.73,77.98,9.56,1177.6,1.0,Validation
87,0.174,1.3,20.73,77.98,10.05,1224.6,1.0,Validation
88,0.146,1.3,20.73,77.98,9.59,1247.2,1.0,Validation
89,0.104,1.3,20.73,77.98,10.95,1270.0,1.0,Training
90,0.063,1.3,20.73,77.98,10.8,1306.3,1.0,Training
91,0.042,1.3,20.73,77.98,10.78,1343.2,1.0,Training
92,0.945,2.56,20.46,76.98,2.07,1169.5,2.0,Training
93,0.933,2.56,20.46,76.98,2.1,1182.7,2.0,Validation
95,0.46,2.56,20.46,76.98,2.1,1284.8,2.0,Validation
96,0.434,2.56,20.46,76.98,2.0,1300.2,2.0,Training
97,0.281,2.56,20.46,76.98,1.99,1347.0,2.0,Training
98,0.175,2.56,20.46,76.98,2.0,1402.6,2.0,Training
99,0.142,2.56,20.46,76.98,2.08,1487.5,2.0,Training
100,0.092,2.56,20.46,76.98,1.98,1544.4,2.0,Training
101,1.875,2.56,20.46,76.98,9.68,1020.8,2.0,Training
102,0.731,2.56,20.46,76.98,10.65,1075.0,2.0,Training
103,0.338,2.56,20.46,76.98,9.38,1136.9,2.0,Training
104,0.151,2.56,20.46,76.98,10.38,1218.1,2.0,Training
105,0.085,2.56,20.46,76.98,9.63,1279.5,2.0,Training
107,1.472,0.64,20.87,78.5,1.92,1131.9,0.5,Training
108,0.806,0.64,20.87,78.5,2.09,1179.2,0.5,Training
109,0.368,0.64,20.87,78.5,2.1,1229.6,0.5,Training
110,0.271,0.64,20.87,78.5,2.02,1294.0,0.5,Training
111,0.198,0.64,20.87,78.5,2.09,1336.4,0.5,Training
112,0.08,0.64,20.87,78.5,2.02,1408.6,0.5,Training
113,0.034,0.64,20.87,78.5,2.02,1511.2,0.5,Training
114,1.82,0.64,20.87,78.5,9.42,1025.2,0.5,Training
115,0.77,0.64,20.87,78.5,10.44,1099.3,0.5,Validation
116,0.444,0.64,20.87,78.5,10.23,1134.9,0.5,Validation
117,0.361,0.64,20.87,78.5,9.78,1174.0,0.5,Validation
119,0.166,0.64,20.87,78.5,9.99,1266.7,0.5,Training
120,0.07,0.64,20.87,78.5,10.17,1310.0,0.5,Training
121,0.032,0.64,20.87,78.5,10.14,1357.7,0.5,Training
122,1.322,1.27,20.73,78.0,2.07,1123.1,1.0,Validation
124,0.61,1.27,20.73,78.0,2.04,1212.9,1.0,Training
126,0.533,1.27,20.73,78.0,2.09,1251.9,1.0,Training
127,0.235,1.27,20.73,78.0,2.02,1308.3,1.0,Validation
128,0.15,1.27,20.73,78.0,2.02,1409.2,1.0,Training
129,0.095,1.27,20.73,78.0,1.9,1456.7,1.0,Validation
130,0.052,1.27,20.73,78.0,2.06,1532.2,1.0,Training
131,0.035,1.27,20.73,78.0,2.09,1591.1,1.0,Training
132,1.2,1.27,20.73,78.0,10.07,1052.8,1.0,Training
133,1.02,1.27,20.73,78.0,9.57,1087.7,1.0,Validation
134,0.401,1.27,20.73,78.0,10.21,1129.8,1.0,Validation
135,0.342,1.27,20.73,78.0,9.25,1161.7,1.0,Training
136,0.249,1.27,20.73,78.0,9.47,1202.1,1.0,Validation
137,0.122,1.27,20.73,78.0,10.14,1307.7,1.0,Validation
138,0.046,1.27,20.73,78.0,9.55,1371.7,1.0,Validation
139,0.012,1.27,20.73,78.0,10.63,1470.8,1.0,Training
141,0.687,2.5,20.48,77.03,1.92,1180.5,2.0,Training
142,0.665,2.5,20.48,77.03,1.97,1223.5,2.0,Validation
143,0.393,2.5,20.48,77.03,2.1,1271.9,2.0,Training
144,0.245,2.5,20.48,77.03,1.96,1288.7,2.0,Validation
146,0.08,2.5,20.48,77.03,2.07,1526.9,2.0,Training
147,0.068,2.5,20.48,77.03,1.93,1576.1,2.0,Training
148,1.36,2.5,20.48,77.03,10.23,1038.5,2.0,Training
149,0.817,2.5,20.48,77.03,10.34,1076.0,2.0,Validation
150,0.484,2.5,20.48,77.03,10.57,1092.2,2.0,Validation
151,0.421,2.5,20.48,77.03,10.44,1117.9,2.0,Training
152,0.246,2.5,20.48,77.03,10.22,1170.7,2.0,Validation
153,0.197,2.5,20.48,77.03,10.12,1221.6,2.0,Validation
154,0.137,2.5,20.48,77.03,9.45,1270.7,2.0,Training
155,0.076,2.5,20.48,77.03,9.48,1320.8,2.0,Validation
156,0.046,2.5,20.48,77.03,10.2,1373.5,2.0,Validation
158,0.692,0.64,20.87,78.5,10.84,1137.6,0.5,Validation
159,0.624,0.64,20.87,78.5,9.81,1147.1,0.5,Validation
160,0.524,0.64,20.87,78.5,9.26,1167.6,0.5,Validation
161,0.372,0.64,20.87,78.5,9.81,1190.0,0.5,Validation
162,0.272,0.64,20.87,78.5,10.01,1230.4,0.5,Training
163,0.206,0.64,20.87,78.5,9.57,1274.8,0.5,Validation
164,0.118,0.64,20.87,78.5,9.94,1346.6,0.5,Validation
166,0.036,0.64,20.87,78.5,10.3,1521.3,0.5,Training
167,1.296,1.27,20.73,78.0,10.27,1060.9,1.0,Validation
168,0.93,1.27,20.73,78.0,9.72,1086.8,1.0,Validation
169,0.71,1.27,20.73,78.0,10.13,1105.7,1.0,Validation
170,0.408,1.27,20.73,78.0,10.31,1164.4,1.0,Validation
172,0.116,1.27,20.73,78.0,10.24,1313.9,1.0,Training
173,0.086,1.27,20.73,78.0,9.49,1367.3,1.0,Training
176,0.948,2.5,20.48,77.03,10.34,1063.3,2.0,Training
177,0.446,2.5,20.48,77.03,10.77,1132.2,2.0,Validation
178,0.276,2.5,20.48,77.03,9.73,1186.5,2.0,Validation
179,0.148,2.5,20.48,77.03,9.73,1285.1,2.0,Validation
180,0.07,2.5,20.48,77.03,9.82,1388.9,2.0,Training
181,0.052,2.5,20.48,77.03,10.61,1437.0,2.0,Training
182,0.04,2.5,20.48,77.03,10.56,1486.1,2.0,Validation
183,1.17,0.64,20.87,78.5,9.85,1093.3,0.5,Validation
184,1.027,0.64,20.87,78.5,10.24,1111.0,0.5,Training
185,0.5,0.64,20.87,78.5,10.25,1161.9,0.5,Training
186,0.352,0.64,20.87,78.5,9.43,1227.4,0.5,Validation
187,0.25,0.64,20.87,78.5,10.01,1260.3,0.5,Validation
188,0.166,0.64,20.87,78.5,10.26,1315.4,0.5,Validation
189,0.152,0.64,20.87,78.5,10.5,1328.8,0.5,Validation
190,0.098,0.64,20.87,78.5,10.09,1405.7,0.5,Validation
191,0.069,0.64,20.87,78.5,9.59,1470.2,0.5,Training
192,0.054,0.64,20.87,78.5,10.04,1502.8,0.5,Validation
193,1.128,1.27,20.73,78.0,10.55,1072.3,1.0,Validation
194,0.835,1.27,20.73,78.0,9.84,1091.0,1.0,Training
195,0.464,1.27,20.73,78.0,10.12,1155.7,1.0,Training
196,0.323,1.27,20.73,78.0,10.14,1207.1,1.0,Training
197,0.222,1.27,20.73,78.0,10.02,1251.1,1.0,Validation
198,0.16,1.27,20.73,78.0,10.03,1301.8,1.0,Validation
199,0.108,1.27,20.73,78.0,9.97,1357.9,1.0,Training
201,0.044,1.27,20.73,78.0,10.24,1517.0,1.0,Training
202,0.705,2.5,20.48,77.03,10.05,1082.1,2.0,Training
203,0.491,2.5,20.48,77.03,10.35,1114.9,2.0,Validation
204,0.399,2.5,20.48,77.03,9.98,1148.9,2.0,Training
205,0.321,2.5,20.48,77.03,10.34,1165.2,2.0,Validation
206,0.184,2.5,20.48,77.03,10.06,1253.3,2.0,Training
207,0.107,2.5,20.48,77.03,9.8,1348.3,2.0,Training
208,0.065,2.5,20.48,77.03,10.54,1443.5,2.0,Validation
209,0.05,2.5,20.48,77.03,9.91,1493.8,2.0,Training
210,1.462,0.61,20.87,78.52,2.77,1155.0,0.5,Validation
211,1.278,0.61,20.87,78.52,2.84,1171.5,0.5,Training
212,0.848,0.61,20.87,78.52,3.01,1202.1,0.5,Training
213,0.628,0.61,20.87,78.52,3.22,1237.6,0.5,Training
214,0.372,0.61,20.87,78.52,3.02,1304.5,0.5,Training
215,0.236,0.61,20.87,78.52,3.2,1339.3,0.5,Training
216,0.158,0.61,20.87,78.52,3.05,1411.6,0.5,Training
217,0.114,0.61,20.87,78.52,3.01,1451.9,0.5,Training
218,0.073,0.61,20.87,78.52,3.06,1513.3,0.5,Training
219,0.244,0.61,20.87,78.52,11.2,1261.3,0.5,Training
221,0.176,0.61,20.87,78.52,10.01,1300.3,0.5,Validation
222,1.496,0.61,20.87,78.52,9.73,1087.5,0.5,Validation
223,0.774,0.61,20.87,78.52,8.79,1135.3,0.5,Validation
224,0.09,0.61,20.87,78.52,9.89,1392.7,0.5,Training
225,0.062,0.61,20.87,78.52,9.98,1448.9,0.5,Validation
226,0.704,0.61,20.87,78.52,9.3,1144.2,0.5,Training
227,0.5,0.61,20.87,78.52,9.84,1172.0,0.5,Validation
229,0.28,1.25,20.74,78.01,3.17,1331.5,1.0,Validation
230,0.106,1.25,20.74,78.01,3.32,1466.8,1.0,Training
231,0.24,1.25,20.74,78.01,2.73,1342.5,1.0,Training
232,0.084,1.25,20.74,78.01,3.0,1499.3,1.0,Training
234,0.396,1.25,20.74,78.01,2.97,1293.7,1.0,Validation
235,0.426,1.25,20.74,78.01,3.24,1282.5,1.0,Validation
236,0.724,1.25,20.74,78.01,3.13,1221.3,1.0,Training
237,1.464,1.25,20.74,78.01,3.1,1156.0,1.0,Validation
238,0.188,1.25,20.74,78.01,2.92,1383.1,1.0,Training
239,0.646,1.25,20.74,78.01,10.67,1130.2,1.0,Training
240,0.492,1.25,20.74,78.01,9.19,1158.2,1.0,Validation
242,0.114,1.25,20.74,78.01,10.35,1319.8,1.0,Validation
243,0.058,1.25,20.74,78.01,10.26,1416.4,1.0,Validation
244,0.3,1.25,20.74,78.01,10.05,1202.8,1.0,Validation
245,0.217,1.25,20.74,78.01,9.91,1245.2,1.0,Validation
246,0.07,1.25,20.74,78.01,10.65,1389.2,1.0,Training
