Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,PHI,Set
448,1.871,1.368,20.72,77.91,23.7,737.0,1.0,Training
449,1.842,1.368,20.72,77.91,20.9,750.0,1.0,Validation
450,1.894,1.368,20.72,77.91,20.8,753.0,1.0,Training
451,1.788,1.368,20.72,77.91,21.2,755.0,1.0,Validation
452,1.757,1.368,20.72,77.91,20.5,757.0,1.0,Validation
453,1.618,1.368,20.72,77.91,23.0,797.0,1.0,Training
454,1.618,1.368,20.72,77.91,24.8,797.0,1.0,Training
455,1.616,1.368,20.72,77.91,21.5,802.0,1.0,Training
456,1.625,1.368,20.72,77.91,23.2,803.0,1.0,Validation
457,1.742,1.368,20.72,77.91,22.1,815.0,1.0,Training
458,2.102,1.368,20.72,77.91,19.1,820.0,1.0,Training
459,1.896,1.368,20.72,77.91,21.2,826.0,1.0,Validation
460,1.789,1.368,20.72,77.91,21.7,831.0,1.0,Training
461,2.038,1.368,20.72,77.91,20.5,836.0,1.0,Validation
462,2.138,1.368,20.72,77.91,20.9,845.0,1.0,Training
463,2.059,1.368,20.72,77.91,21.2,849.0,1.0,Validation
464,1.897,1.368,20.72,77.91,22.1,849.0,1.0,Validation
465,1.908,1.368,20.72,77.91,21.8,851.0,1.0,Training
467,2.032,1.368,20.72,77.91,21.6,882.0,1.0,Training
468,2.031,1.368,20.72,77.91,21.5,904.0,1.0,Training
469,1.749,1.368,20.72,77.91,20.9,931.0,1.0,Training
470,1.675,1.368,20.72,77.91,22.7,940.0,1.0,Training
471,1.354,1.368,20.72,77.91,21.1,955.0,1.0,Training
472,1.236,1.368,20.72,77.91,21.7,973.0,1.0,Training
473,1.14,1.368,20.72,77.91,19.9,984.0,1.0,Training
474,1.05,1.368,20.72,77.91,18.9,991.0,1.0,Training
475,0.816,1.368,20.72,77.91,19.2,1025.0,1.0,Training
477,0.563,1.368,20.72,77.91,21.6,1046.0,1.0,Training
478,0.458,1.368,20.72,77.91,21.0,1050.0,1.0,Validation
479,0.464,1.368,20.72,77.91,19.3,1072.0,1.0,Training
481,0.318,1.368,20.72,77.91,18.4,1092.0,1.0,Validation
482,0.355,1.368,20.72,77.91,16.9,1100.0,1.0,Training
483,0.261,1.368,20.72,77.91,18.2,1106.0,1.0,Training
484,0.249,1.368,20.72,77.91,18.1,1109.0,1.0,Validation
485,0.225,1.368,20.72,77.91,17.7,1117.0,1.0,Validation
486,0.185,1.368,20.72,77.91,19.2,1126.0,1.0,Validation
487,0.181,1.368,20.72,77.91,18.7,1138.0,1.0,Training
488,0.176,1.368,20.72,77.91,18.1,1143.0,1.0,Validation
489,0.184,1.368,20.72,77.91,17.2,1145.0,1.0,Training
490,0.104,1.368,20.72,77.91,18.1,1177.0,1.0,Training
491,0.116,1.368,20.72,77.91,16.3,1187.0,1.0,Validation
492,0.095,1.368,20.72,77.91,16.5,1197.0,1.0,Training
493,0.077,1.368,20.72,77.91,16.8,1222.0,1.0,Training
494,1.885,1.368,20.72,77.91,36.6,741.0,1.0,Training
495,1.707,1.368,20.72,77.91,40.3,763.0,1.0,Training
496,1.644,1.368,20.72,77.91,38.5,812.0,1.0,Training
497,1.661,1.368,20.72,77.91,36.0,832.0,1.0,Training
498,1.727,1.368,20.72,77.91,40.1,848.0,1.0,Training
499,1.423,1.368,20.72,77.91,36.9,852.0,1.0,Training
500,1.423,1.368,20.72,77.91,36.9,854.0,1.0,Validation
501,1.824,1.368,20.72,77.91,35.7,855.0,1.0,Training
502,1.55,1.368,20.72,77.91,39.3,888.0,1.0,Training
503,1.64,1.368,20.72,77.91,38.1,896.0,1.0,Training
504,1.689,1.368,20.72,77.91,34.5,904.0,1.0,Training
505,1.483,1.368,20.72,77.91,39.9,916.0,1.0,Training
506,1.192,1.368,20.72,77.91,36.5,945.0,1.0,Training
507,0.819,1.368,20.72,77.91,41.1,964.0,1.0,Training
508,0.821,1.368,20.72,77.91,40.2,978.0,1.0,Training
509,0.542,1.368,20.72,77.91,38.8,1007.0,1.0,Training
510,0.689,1.368,20.72,77.91,40.3,1008.0,1.0,Training
511,0.462,1.368,20.72,77.91,38.8,1021.0,1.0,Training
512,0.456,1.368,20.72,77.91,38.6,1030.0,1.0,Validation
513,0.495,1.368,20.72,77.91,40.9,1034.0,1.0,Training
514,0.298,1.368,20.72,77.91,38.5,1054.0,1.0,Training
515,0.169,1.368,20.72,77.91,40.2,1103.0,1.0,Training
516,0.107,1.368,20.72,77.91,39.6,1132.0,1.0,Training
517,0.092,1.368,20.72,77.91,40.3,1161.0,1.0,Training
518,0.079,1.368,20.72,77.91,40.9,1162.0,1.0,Validation
519,0.096,1.368,20.72,77.91,38.7,1163.0,1.0,Training
520,0.04,1.368,20.72,77.91,40.9,1224.0,1.0,Training
521,0.038,1.368,20.72,77.91,38.8,1229.0,1.0,Training
522,8.311,2.038,20.58,77.38,19.8,662.0,1.5,Validation
523,6.77,2.038,20.58,77.38,20.0,670.0,1.5,Training
524,5.285,2.038,20.58,77.38,20.1,672.0,1.5,Validation
525,3.656,2.038,20.58,77.38,21.1,684.0,1.5,Training
526,2.811,2.038,20.58,77.38,18.8,701.0,1.5,Training
527,2.528,2.038,20.58,77.38,23.0,706.0,1.5,Training
529,1.72,2.038,20.58,77.38,19.7,717.0,1.5,Training
530,1.973,2.038,20.58,77.38,21.1,724.0,1.5,Training
531,1.709,2.038,20.58,77.38,18.7,743.0,1.5,Training
532,1.832,2.038,20.58,77.38,19.6,759.0,1.5,Training
534,1.678,2.038,20.58,77.38,21.0,810.0,1.5,Training
535,1.651,2.038,20.58,77.38,18.4,813.0,1.5,Training
536,2.052,2.038,20.58,77.38,19.6,832.0,1.5,Validation
537,1.761,2.038,20.58,77.38,19.1,837.0,1.5,Training
538,2.064,2.038,20.58,77.38,19.2,854.0,1.5,Validation
539,1.655,2.038,20.58,77.38,22.2,880.0,1.5,Training
540,1.662,2.038,20.58,77.38,23.4,894.0,1.5,Training
541,1.931,2.038,20.58,77.38,20.4,901.0,1.5,Validation
542,1.612,2.038,20.58,77.38,20.5,910.0,1.5,Training
544,0.816,2.038,20.58,77.38,23.2,989.0,1.5,Training
545,0.756,2.038,20.58,77.38,18.9,1004.0,1.5,Training
546,0.628,2.038,20.58,77.38,21.2,1014.0,1.5,Validation
547,0.522,2.038,20.58,77.38,21.7,1014.0,1.5,Validation
548,0.524,2.038,20.58,77.38,20.9,1020.0,1.5,Training
549,0.541,2.038,20.58,77.38,20.4,1021.0,1.5,Validation
550,0.371,2.038,20.58,77.38,22.4,1049.0,1.5,Training
551,0.279,2.038,20.58,77.38,21.9,1075.0,1.5,Validation
552,0.291,2.038,20.58,77.38,22.3,1088.0,1.5,Training
553,0.243,2.038,20.58,77.38,21.9,1101.0,1.5,Validation
554,0.14,2.038,20.58,77.38,23.4,1121.0,1.5,Training
555,0.13,2.038,20.58,77.38,20.5,1142.0,1.5,Training
556,0.155,2.038,20.58,77.38,18.9,1132.0,1.5,Training
557,0.119,2.038,20.58,77.38,20.3,1157.0,1.5,Validation
558,0.114,2.038,20.58,77.38,19.9,1160.0,1.5,Training
561,1.621,1.171,20.76,78.07,22.5,700.0,1.0,Training
562,1.334,1.171,20.76,78.07,20.6,717.0,1.0,Training
563,1.245,1.171,20.76,78.07,20.1,732.0,1.0,Validation
564,1.453,1.171,20.76,78.07,19.6,759.0,1.0,Training
565,1.457,1.171,20.76,78.07,20.3,804.0,1.0,Training
566,1.295,1.171,20.76,78.07,20.0,832.0,1.0,Training
567,1.674,1.171,20.76,78.07,19.8,857.0,1.0,Training
568,1.547,1.171,20.76,78.07,18.7,870.0,1.0,Training
569,1.362,1.171,20.76,78.07,18.7,926.0,1.0,Training
570,1.142,1.171,20.76,78.07,20.9,942.0,1.0,Training
571,1.037,1.171,20.76,78.07,20.1,956.0,1.0,Training
572,0.593,1.171,20.76,78.07,19.6,1016.0,1.0,Training
573,0.423,1.171,20.76,78.07,24.0,1044.0,1.0,Validation
574,0.387,1.171,20.76,78.07,20.8,1046.0,1.0,Training
575,0.343,1.171,20.76,78.07,20.0,1066.0,1.0,Training
576,0.292,1.171,20.76,78.07,19.0,1086.0,1.0,Training
577,0.221,1.171,20.76,78.07,20.3,1119.0,1.0,Training
578,0.161,1.171,20.76,78.07,19.8,1142.0,1.0,Training
579,0.103,1.171,20.76,78.07,19.8,1179.0,1.0,Validation
580,0.083,1.171,20.76,78.07,20.0,1180.0,1.0,Training
581,0.039,1.171,20.76,78.07,20.8,1260.0,1.0,Training
582,3.562,1.286,20.74,77.97,19.2,651.0,1.0,Training
583,1.557,1.286,20.74,77.97,19.8,689.0,1.0,Validation
584,1.161,1.286,20.74,77.97,18.5,715.0,1.0,Training
585,1.094,1.286,20.74,77.97,20.6,733.0,1.0,Validation
586,1.19,1.286,20.74,77.97,18.0,808.0,1.0,Training
587,0.99,1.286,20.74,77.97,21.4,811.0,1.0,Training
588,1.078,1.286,20.74,77.97,21.0,880.0,1.0,Training
589,1.192,1.286,20.74,77.97,20.2,904.0,1.0,Training
590,1.001,1.286,20.74,77.97,22.5,942.0,1.0,Training
592,0.376,1.286,20.74,77.97,21.4,1072.0,1.0,Validation
593,0.278,1.286,20.74,77.97,22.3,1097.0,1.0,Training
594,0.223,1.286,20.74,77.97,19.2,1112.0,1.0,Training
595,0.074,1.286,20.74,77.97,19.0,1212.0,1.0,Training
596,0.029,1.286,20.74,77.97,19.9,1290.0,1.0,Training
597,6.642,1.258,20.74,78.0,21.5,681.0,1.0,Training
598,5.995,1.258,20.74,78.0,20.4,687.0,1.0,Training
599,3.06,1.258,20.74,78.0,20.4,734.0,1.0,Training
600,3.332,1.258,20.74,78.0,20.6,805.0,1.0,Validation
601,2.686,1.258,20.74,78.0,20.0,869.0,1.0,Training
603,1.162,1.258,20.74,78.0,20.2,977.0,1.0,Training
604,1.038,1.258,20.74,78.0,20.0,989.0,1.0,Validation
605,0.563,1.258,20.74,78.0,20.4,1033.0,1.0,Training
606,0.303,1.258,20.74,78.0,21.5,1080.0,1.0,Training
607,0.135,1.258,20.74,78.0,20.3,1151.0,1.0,Training
608,0.07,1.258,20.74,78.0,20.5,1213.0,1.0,Training
609,0.045,1.258,20.74,78.0,20.8,1252.0,1.0,Training
610,0.027,1.258,20.74,78.0,21.9,1323.0,1.0,Training
611,6.9798,0.59,20.88,78.53,10.88,921.5,0.5,Training
612,3.2174,0.59,20.88,78.53,10.88,968.9,0.5,Validation
614,0.8717,0.59,20.88,78.53,10.88,1084.6,0.5,Validation
616,0.2536,0.59,20.88,78.53,10.88,1237.2,0.5,Training
618,7.232,0.59,20.88,78.53,10.88,785.2,0.5,Training
619,6.4533,0.59,20.88,78.53,10.88,844.1,0.5,Training
620,6.7579,0.59,20.88,78.53,10.88,881.9,0.5,Training
621,4.25,0.59,20.88,78.53,10.88,933.0,0.5,Validation
622,3.2964,0.59,20.88,78.53,10.88,952.6,0.5,Validation
623,0.3403,0.59,20.88,78.53,10.88,1161.7,0.5,Training
624,2.9961,0.59,20.88,78.53,10.88,965.6,0.5,Training
625,2.2723,0.59,20.88,78.53,10.88,999.8,0.5,Training
626,0.8375,0.59,20.88,78.53,10.88,1066.1,0.5,Validation
628,5.7043,1.18,20.75,78.07,10.88,773.2,1.0,Training
629,6.3575,1.18,20.75,78.07,10.88,829.0,1.0,Training
630,4.5319,1.18,20.75,78.07,10.88,891.7,1.0,Training
631,2.4805,1.18,20.75,78.07,10.88,952.1,1.0,Training
633,0.9814,1.18,20.75,78.07,10.88,1047.1,1.0,Training
634,0.5424,1.18,20.75,78.07,10.88,1102.0,1.0,Validation
635,0.3977,1.18,20.75,78.07,10.88,1141.7,1.0,Validation
636,0.2137,1.18,20.75,78.07,10.88,1226.5,1.0,Training
637,4.9193,1.76,20.63,77.61,10.88,795.9,1.5,Training
638,4.3233,1.76,20.63,77.61,10.88,749.4,1.5,Training
639,5.8276,1.76,20.63,77.61,10.88,832.7,1.5,Training
640,4.9722,1.76,20.63,77.61,10.88,883.7,1.5,Training
641,1.9295,1.76,20.63,77.61,10.88,960.8,1.5,Training
642,2.3592,1.76,20.63,77.61,10.88,962.7,1.5,Validation
644,0.4712,1.76,20.63,77.61,10.88,1109.6,1.5,Training
645,0.2169,1.76,20.63,77.61,10.88,1225.8,1.5,Training
646,10.0378,0.59,10.44,88.97,10.88,817.0,1.0,Training
647,8.8067,0.59,10.44,88.97,10.88,864.4,1.0,Training
648,6.7526,0.59,10.44,88.97,10.88,904.5,1.0,Validation
649,6.2996,0.59,10.44,88.97,10.88,922.1,1.0,Training
650,0.5574,0.59,10.44,88.97,10.88,1157.0,1.0,Training
651,3.5289,0.59,10.44,88.97,10.88,958.6,1.0,Training
652,1.5373,0.59,10.44,88.97,10.88,1044.6,1.0,Training
653,0.1539,0.59,10.44,88.97,10.88,1295.3,1.0,Validation
655,8.9756,0.59,10.44,88.97,10.88,908.8,1.0,Validation
656,4.4196,0.59,10.44,88.97,10.88,947.6,1.0,Validation
657,2.5072,0.59,10.44,88.97,10.88,1008.5,1.0,Training
658,1.0052,0.59,10.44,88.97,10.88,1099.5,1.0,Training
659,0.5186,0.59,10.44,88.97,10.88,1185.7,1.0,Training
660,0.2088,0.59,10.44,88.97,10.88,1302.0,1.0,Training
661,0.0827,0.59,10.44,88.97,10.88,1397.4,1.0,Training
662,5.4239,0.59,10.44,88.97,10.88,958.6,1.0,Validation
663,11.4041,0.59,10.44,88.97,10.88,907.0,1.0,Training
664,3.8677,0.59,10.44,88.97,10.88,1004.5,1.0,Validation
665,2.2017,0.59,10.44,88.97,10.88,1059.8,1.0,Validation
666,1.2128,0.59,10.44,88.97,10.88,1118.9,1.0,Validation
667,0.6199,0.59,10.44,88.97,10.88,1211.9,1.0,Training
668,0.2564,0.59,10.44,88.97,10.88,1335.3,1.0,Training
669,0.1167,0.59,10.44,88.97,10.88,1437.1,1.0,Training
670,11.3219,0.59,6.96,92.45,10.88,900.7,1.5,Training
671,7.2795,0.59,6.96,92.45,10.88,939.4,1.5,Training
672,3.3667,0.59,6.96,92.45,10.88,1030.8,1.5,Validation
673,5.1542,0.59,6.96,92.45,10.88,979.0,1.5,Training
674,1.2998,0.59,6.96,92.45,10.88,1129.6,1.5,Training
675,2.2588,0.59,6.96,92.45,10.88,1065.3,1.5,Training
676,0.4796,0.59,6.96,92.45,10.88,1272.7,1.5,Validation
677,0.6974,0.59,6.96,92.45,10.88,1191.8,1.5,Training
678,2.968,0.59,6.96,92.45,10.88,1039.0,1.5,Training
680,0.9277,0.59,6.96,92.45,10.88,1174.3,1.5,Validation
684,1.9642,0.59,6.96,92.45,10.88,1122.3,1.5,Validation
685,1.08,0.59,6.96,92.45,10.88,1197.7,1.5,Validation
686,0.5366,0.59,6.96,92.45,10.88,1256.5,1.5,Training
687,0.7992,0.59,6.96,92.45,10.88,1251.7,1.5,Validation
689,0.355,0.39,20.93,78.68,14.1,1169.0,0.3,Training
690,0.716,0.39,20.93,78.68,15.2,1105.4,0.3,Training
691,1.574,0.39,20.93,78.68,16.3,1034.3,0.3,Training
692,0.148,0.39,20.93,78.68,29.6,1195.6,0.3,Training
693,0.226,0.39,20.93,78.68,28.9,1171.8,0.3,Training
694,0.755,0.39,20.93,78.68,27.5,1061.5,0.3,Training
695,1.179,0.39,20.93,78.68,25.9,1036.8,0.3,Training
696,2.242,0.39,20.93,78.68,28.1,974.5,0.3,Training
697,3.889,0.39,20.93,78.68,24.8,928.5,0.3,Training
698,4.671,0.39,20.93,78.68,27.7,874.9,0.3,Training
699,4.025,0.39,20.93,78.68,30.4,854.6,0.3,Training
700,5.142,0.39,20.93,78.68,25.5,848.4,0.3,Training
701,4.777,0.39,20.93,78.68,31.5,814.8,0.3,Training
702,0.064,1.28,20.74,77.98,16.8,1235.7,1.0,Training
703,0.175,1.28,20.74,77.98,14.9,1174.3,1.0,Training
704,0.266,1.28,20.74,77.98,16.1,1110.6,1.0,Training
705,0.931,1.28,20.74,77.98,15.7,998.1,1.0,Training
706,3.865,1.28,20.74,77.98,14.7,876.9,1.0,Training
707,5.528,1.28,20.74,77.98,15.3,838.4,1.0,Training
708,5.535,1.28,20.74,77.98,13.1,750.0,1.0,Training
709,5.533,1.28,20.74,77.98,14.9,734.3,1.0,Training
711,8.176,1.28,20.74,77.98,16.2,702.1,1.0,Training
712,0.042,1.28,20.74,77.98,31.0,1194.5,1.0,Training
713,0.203,1.28,20.74,77.98,30.5,1087.2,1.0,Training
714,0.695,1.28,20.74,77.98,30.5,998.0,1.0,Training
715,1.759,1.28,20.74,77.98,29.4,925.7,1.0,Training
716,2.233,1.28,20.74,77.98,29.0,872.6,1.0,Training
717,3.109,1.276,20.74,77.984,23.3,874.0,1.0,Training
718,2.355,1.276,20.74,77.984,25.1,880.0,1.0,Training
719,1.23,1.276,20.74,77.984,31.4,934.0,1.0,Training
720,1.358,1.276,20.74,77.984,24.0,952.0,1.0,Training
722,1.412,1.276,20.74,77.984,21.7,963.0,1.0,Training
723,0.777,1.276,20.74,77.984,32.5,974.0,1.0,Training
724,0.984,1.276,20.74,77.984,21.3,987.0,1.0,Training
725,0.641,1.276,20.74,77.984,32.1,997.0,1.0,Training
726,0.4,1.276,20.74,77.984,36.1,1022.0,1.0,Training
727,0.539,1.276,20.74,77.984,21.9,1035.0,1.0,Training
728,0.486,1.276,20.74,77.984,22.0,1042.0,1.0,Validation
730,0.138,1.276,20.74,77.984,24.8,1130.0,1.0,Training
732,0.052,1.276,20.74,77.984,27.0,1192.0,1.0,Training
733,0.034,1.276,20.74,77.984,29.2,1220.0,1.0,Training
734,0.528,1.276,20.74,77.984,49.3,961.0,1.0,Training
735,0.286,1.276,20.74,77.984,50.9,1009.0,1.0,Training
737,0.08,1.276,20.74,77.984,47.8,1124.0,1.0,Training
738,1.82,0.615,10.0,89.385,18.9,1025.0,1.0,Training
740,1.109,0.615,10.0,89.385,19.7,1067.0,1.0,Training
741,1.137,0.615,10.0,89.385,17.7,1072.0,1.0,Training
742,1.005,0.615,10.0,89.385,18.3,1081.0,1.0,Validation
743,0.818,0.615,10.0,89.385,20.2,1092.0,1.0,Training
745,0.646,0.615,10.0,89.385,17.3,1124.0,1.0,Validation
746,0.569,0.615,10.0,89.385,17.7,1127.0,1.0,Training
748,2.584,1.276,20.74,77.984,21.8,753.0,1.0,Training
749,2.423,1.276,20.74,77.984,21.5,763.0,1.0,Validation
750,2.566,1.276,20.74,77.984,19.4,774.0,1.0,Validation
752,2.742,1.276,20.74,77.984,19.7,786.0,1.0,Training
753,2.628,1.276,20.74,77.984,20.8,808.0,1.0,Training
754,1.961,0.642,20.87,78.488,19.6,970.0,0.5,Training
755,0.917,0.642,20.87,78.488,21.0,1032.0,0.5,Training
756,0.873,0.642,20.87,78.488,19.9,1039.0,0.5,Training
757,0.53,0.642,20.87,78.488,19.9,1081.0,0.5,Training
758,0.463,0.642,20.87,78.488,22.2,1081.0,0.5,Training
759,0.11,0.642,20.87,78.488,22.1,1187.0,0.5,Validation
760,0.973,1.276,20.74,77.984,26.4,1000.0,1.0,Training
761,0.208,1.276,20.74,77.984,26.2,1100.0,1.0,Training
762,0.123,1.276,20.74,77.984,25.5,1137.0,1.0,Validation
763,0.131,1.276,20.74,77.984,21.8,1145.0,1.0,Training
764,0.072,1.276,20.74,77.984,26.1,1172.0,1.0,Training
765,0.07,1.276,20.74,77.984,21.9,1187.0,1.0,Training
766,0.064,1.276,20.74,77.984,22.2,1194.0,1.0,Validation
768,0.567,1.1282,21.0,77.8718,2.69,1290.0,1.01,Training
769,0.778,1.117,21.0,77.883,3.08,1232.0,1.0,Training
770,1.417,1.1058,21.0,77.8942,2.99,1147.0,0.99,Training
771,0.878,1.1058,21.0,77.8942,3.09,1210.0,0.99,Training
772,0.368,1.0723,21.0,77.9277,2.52,1331.0,0.96,Training
773,0.659,1.1952,21.0,77.8048,3.23,1221.0,1.07,Training
774,0.1095,1.0947,21.0,77.9053,6.64,1363.0,0.98,Training
775,0.268,1.1393,21.0,77.8607,6.08,1244.0,1.02,Training
776,0.1062,1.1729,21.0,77.8272,6.81,1364.0,1.05,Training
777,0.492,1.1282,21.0,77.8718,6.26,1168.0,1.01,Training
778,0.393,1.1952,21.0,77.8048,7.39,1168.0,1.07,Training
779,0.57,1.2399,21.0,77.7601,7.69,1127.0,1.11,Training
780,1.118,1.2846,21.0,77.7155,8.27,1070.0,1.15,Training
782,1.227,1.0723,21.0,77.9277,8.15,1069.0,0.96,Training
784,0.196,0.5027,21.0,78.4974,6.59,1278.0,0.45,Training
785,0.451,0.5585,21.0,78.4415,7.37,1173.0,0.5,Training
786,0.714,0.6032,21.0,78.3968,7.74,1126.0,0.54,Training
787,1.515,0.6367,21.0,78.3633,8.19,1053.0,0.57,Training
788,1.231,2.4462,21.0,76.5538,8.2,1070.0,2.19,Training
789,0.348,1.3828,21.0,77.6172,5.98,1201.0,1.07,Training
791,0.813,1.4732,21.0,77.5268,6.01,1128.0,1.14,Training
793,0.533,1.6575,21.0,77.3425,6.04,1175.0,1.18,Training
794,0.471,1.798,21.0,77.202,5.98,1193.0,1.28,Training
795,2.488,1.9104,21.0,77.0896,5.57,1065.0,1.36,Training
796,0.859,1.5732,21.0,77.4268,6.17,1136.0,1.12,Training
797,0.272,1.2034,21.0,77.7966,6.14,1210.0,1.0,Training
798,0.511,1.0951,21.0,77.9049,6.27,1148.0,0.91,Training
799,1.681,1.6246,21.0,77.3754,5.73,1055.0,1.35,Training
800,0.703,1.408,21.0,77.592,6.36,1123.0,1.17,Training
801,1.422,0.9463,21.0,78.0537,5.26,1095.0,0.81,Training
802,0.633,1.3085,21.0,77.6915,5.23,1162.0,1.12,Training
803,0.279,1.3085,21.0,77.6915,5.22,1225.0,1.12,Training
804,0.518,1.0982,21.0,77.9018,5.76,1165.0,0.94,Training
805,0.833,1.0398,21.0,77.9602,5.77,1133.0,0.89,Training
806,0.112,1.6929,21.0,0.0,16.1,1220.0,1.31,Training
807,0.257,1.9772,21.0,0.0,17.9,1120.0,1.53,Training
808,0.149,1.8351,21.0,0.0,17.0,1188.0,1.42,Training
809,0.729,0.7754,21.0,0.0,17.26,1054.0,0.6,Training
810,0.299,1.0855,21.0,0.0,17.3,1140.0,0.84,Training
811,0.296,1.3957,21.0,0.0,18.1,1105.0,1.08,Training
813,0.275,1.512,21.0,0.0,17.9,1108.0,1.17,Training
814,0.19,1.3698,21.0,0.0,34.11,1107.0,1.06,Training
815,0.187,1.2535,21.0,0.0,33.85,1092.0,0.97,Training
816,0.25,1.2148,21.0,0.0,34.59,1080.0,0.94,Training
817,0.418,1.4215,21.0,0.0,35.95,1022.0,1.1,Training
818,0.532,0.2511,4.0,0.0,11.96,1286.0,1.02,Validation
819,1.309,0.256,4.0,0.0,12.4,1205.0,1.04,Training
820,0.783,0.2585,4.0,0.0,12.26,1244.0,1.05,Validation
821,2.498,0.256,4.0,0.0,12.55,1155.0,1.04,Training
822,1.806,0.2634,4.0,0.0,12.42,1181.0,1.07,Training
823,0.483,0.2732,4.0,0.0,12.22,1290.0,1.11,Training
824,2.711,0.2511,4.0,0.0,12.35,1154.0,1.02,Validation
825,0.77,0.2486,4.0,0.0,12.66,1240.0,1.01,Validation
826,2.039,0.2486,4.0,0.0,12.87,1173.0,1.01,Validation
827,0.365,0.2732,4.0,0.0,15.12,1317.0,1.11,Training
828,0.232,0.2511,4.0,0.0,14.8,1374.0,1.02,Training
829,0.53,0.2732,4.0,0.0,15.42,1274.0,1.11,Training
830,0.79,0.2806,4.0,0.0,15.56,1229.0,1.14,Validation
831,1.05,0.2757,4.0,0.0,15.83,1198.0,1.12,Training
832,2.2,0.2782,4.0,0.0,15.98,1154.0,1.13,Training
833,0.653,0.1058,4.0,0.0,12.54,1231.0,0.43,Training
834,1.279,0.1206,4.0,0.0,12.65,1193.0,0.49,Training
835,1.403,0.1206,4.0,0.0,12.82,1182.0,0.49,Validation
836,2.12,0.1231,4.0,0.0,13.0,1157.0,0.5,Training
837,0.379,0.1206,4.0,0.0,12.24,1284.0,0.49,Training
838,0.215,0.1182,4.0,0.0,12.16,1334.0,0.48,Training
840,0.942,0.5095,4.0,0.0,12.27,1243.0,2.07,Training
841,0.403,0.5268,4.0,0.0,11.87,1324.0,2.14,Training
842,1.967,0.5194,4.0,0.0,12.4,1169.0,2.11,Training
843,0.873,0.512,4.0,0.0,12.1,1248.0,2.08,Validation
844,0.4,0.5169,4.0,0.0,11.61,1330.0,2.1,Validation
845,0.822,0.3077,4.0,0.0,53.8,1110.0,1.25,Training
846,0.599,0.2978,4.0,0.0,50.09,1147.0,1.21,Training
847,0.253,0.2978,4.0,0.0,49.28,1235.0,1.21,Training
848,1.573,0.2585,4.0,0.0,51.99,1067.0,1.05,Training
849,2.613,0.2609,4.0,0.0,52.21,1030.0,1.06,Training
850,0.343,1.2637,20.7429,77.9934,11.25,1169.0,0.99,Training
851,0.793,1.1122,20.7747,78.113,11.89,1103.0,0.87,Training
852,1.293,1.2007,20.7562,78.0432,12.8,1050.0,0.94,Training
853,1.593,1.5402,20.6848,77.7749,11.35,1034.0,1.21,Training
854,0.355,1.0996,20.7774,78.123,10.45,1174.0,0.86,Training
855,0.357,1.2259,20.7509,78.0232,10.54,1162.0,0.96,Validation
856,1.385,1.2385,20.7482,78.0133,11.59,1052.0,0.97,Validation
857,0.792,1.3141,20.7323,77.9536,11.25,1101.0,1.03,Training
858,0.233,1.3015,20.735,77.9635,10.57,1201.0,1.02,Validation
859,0.125,0.4761,20.9084,78.6155,10.34,1256.0,0.37,Training
860,0.43,0.5401,20.8949,78.565,11.2,1161.0,0.42,Training
861,0.51,0.5273,20.8976,78.5751,10.9,1148.0,0.41,Validation
862,1.3,0.5145,20.9003,78.5852,11.42,1087.0,0.4,Training
863,0.8,0.5273,20.8976,78.5751,11.28,1120.0,0.41,Training
864,0.255,0.4889,20.9057,78.6054,10.57,1200.0,0.38,Training
865,1.545,1.087,20.7801,78.133,14.8,1008.0,0.85,Training
866,0.517,1.2637,20.7429,77.9934,14.1,1109.0,0.99,Training
867,0.133,1.2385,20.7482,78.0133,13.0,1247.0,0.97,Training
868,0.18,1.3519,20.7244,77.9237,34.11,1107.0,1.06,Training
869,0.245,1.2007,20.7562,78.0432,34.59,1080.0,0.94,Training
870,0.415,1.4022,20.7138,77.884,35.95,1022.0,1.1,Training
871,0.125,0.4761,20.9084,78.6155,10.34,1256.0,0.37,Validation
872,0.43,0.5401,20.8949,78.565,11.2,1161.0,0.42,Validation
873,0.51,0.5273,20.8976,78.5751,10.9,1148.0,0.41,Validation
874,1.3,0.5145,20.9003,78.5852,11.42,1087.0,0.4,Validation
875,0.8,0.5273,20.8976,78.5751,11.28,1120.0,0.41,Validation
876,0.255,0.4889,20.9057,78.6054,10.57,1200.0,0.38,Validation
877,0.303,0.9554,21.0,0.0,15.8,1153.0,0.77,Training
878,0.452,1.3897,21.0,0.0,16.6,1072.0,1.12,Training
879,0.481,1.4517,21.0,0.0,17.05,1051.0,1.17,Training
880,0.152,0.9182,21.0,0.0,15.7,1209.0,0.74,Training
881,0.344,1.3276,21.0,0.0,16.4,1117.0,1.07,Training
883,0.417,0.943,21.0,0.0,15.8,1110.0,0.76,Training
884,0.274,1.551,21.0,0.0,16.35,1126.0,1.25,Training
885,0.314,1.6254,21.0,0.0,16.6,1112.0,1.31,Training
887,0.8,0.2434,4.0,0.0,12.81,1239.0,1.03,Training
888,1.673,0.2482,4.0,0.0,12.98,1190.0,1.05,Validation
889,0.523,0.234,4.0,0.0,12.39,1285.0,0.99,Training
890,2.711,0.2482,4.0,0.0,13.16,1145.0,1.05,Validation
891,0.267,0.2411,4.0,0.0,12.31,1356.0,1.02,Training
892,0.17,0.2245,4.0,0.0,11.78,1411.0,0.95,Training
