Point,X_Fuel,X_O2,X_N2,X_Ar,X_He,P,T,PHI
108,0.64,20.87,78.5,0,0,2.09,1179.2,0.5
109,0.64,20.87,78.5,0,0,2.1,1229.6,0.5
110,0.64,20.87,78.5,0,0,2.02,1294,0.5
111,0.64,20.87,78.5,0,0,2.09,1336.4,0.5
112,0.64,20.87,78.5,0,0,2.02,1408.6,0.5
113,0.64,20.87,78.5,0,0,2.02,1511.2,0.5
114,0.64,20.87,78.5,0,0,9.42,1025.2,0.5
115,0.64,20.87,78.5,0,0,10.44,1099.3,0.5
116,0.64,20.87,78.5,0,0,10.23,1134.9,0.5
117,0.64,20.87,78.5,0,0,9.78,1174,0.5
118,0.64,20.87,78.5,0,0,9.96,1227.4,0.5
119,0.64,20.87,78.5,0,0,9.99,1266.7,0.5
120,0.64,20.87,78.5,0,0,10.17,1310,0.5
121,0.64,20.87,78.5,0,0,10.14,1357.7,0.5
122,1.27,20.73,78,0,0,2.07,1123.1,1
123,1.27,20.73,78,0,0,2.08,1186.1,1
124,1.27,20.73,78,0,0,2.04,1212.9,1
125,1.27,20.73,78,0,0,2,1251.8,1
126,1.27,20.73,78,0,0,2.09,1251.9,1
127,1.27,20.73,78,0,0,2.02,1308.3,1
128,1.27,20.73,78,0,0,2.02,1409.2,1
129,1.27,20.73,78,0,0,1.9,1456.7,1
130,1.27,20.73,78,0,0,2.06,1532.2,1
131,1.27,20.73,78,0,0,2.09,1591.1,1
132,1.27,20.73,78,0,0,10.07,1052.8,1
133,1.27,20.73,78,0,0,9.57,1087.7,1
134,1.27,20.73,78,0,0,10.21,1129.8,1
135,1.27,20.73,78,0,0,9.25,1161.7,1
136,1.27,20.73,78,0,0,9.47,1202.1,1
137,1.27,20.73,78,0,0,10.14,1307.7,1
138,1.27,20.73,78,0,0,9.55,1371.7,1
139,1.27,20.73,78,0,0,10.63,1470.8,1
140,2.5,20.48,77.03,0,0,2.01,1104.5,2
141,2.5,20.48,77.03,0,0,1.92,1180.5,2
142,2.5,20.48,77.03,0,0,1.97,1223.5,2
143,2.5,20.48,77.03,0,0,2.1,1271.9,2
144,2.5,20.48,77.03,0,0,1.96,1288.7,2
145,2.5,20.48,77.03,0,0,1.93,1377.9,2
146,2.5,20.48,77.03,0,0,2.07,1526.9,2
147,2.5,20.48,77.03,0,0,1.93,1576.1,2
148,2.5,20.48,77.03,0,0,10.23,1038.5,2
149,2.5,20.48,77.03,0,0,10.34,1076,2
150,2.5,20.48,77.03,0,0,10.57,1092.2,2
151,2.5,20.48,77.03,0,0,10.44,1117.9,2
152,2.5,20.48,77.03,0,0,10.22,1170.7,2
153,2.5,20.48,77.03,0,0,10.12,1221.6,2
154,2.5,20.48,77.03,0,0,9.45,1270.7,2
