Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,PHI,Set,IDT_ms_pred
428,3.117,1.368,20.72,77.91,12.0,937.0,1.0,Training,2.9266000000000005
429,1.668,1.368,20.72,77.91,12.0,978.0,1.0,Training,1.9418800000000003
430,1.751,1.368,20.72,77.91,10.1,987.0,1.0,Training,1.6346
431,1.169,1.368,20.72,77.91,11.6,1021.0,1.0,Training,1.2954
432,1.054,1.368,20.72,77.91,12.1,1032.0,1.0,Training,1.2294000000000003
434,0.559,1.368,20.72,77.91,11.2,1077.0,1.0,Training,0.7754000000000001
435,0.298,1.368,20.72,77.91,10.6,1136.0,1.0,Training,0.328
436,0.246,1.368,20.72,77.91,10.3,1154.0,1.0,Training,0.313
438,0.11,1.368,20.72,77.91,9.0,1240.0,1.0,Training,0.2198
439,0.052,1.368,20.72,77.91,9.0,1313.0,1.0,Training,0.0684
440,8.974,1.368,20.72,77.91,20.8,674.0,1.0,Training,7.8892
441,6.703,1.368,20.72,77.91,21.8,680.0,1.0,Training,6.980800000000001
442,5.821,1.368,20.72,77.91,21.3,681.0,1.0,Training,6.628
443,3.887,1.368,20.72,77.91,23.5,700.0,1.0,Training,4.1866
447,2.287,1.368,20.72,77.91,20.0,723.0,1.0,Training,2.1809999999999996
448,1.871,1.368,20.72,77.91,23.7,737.0,1.0,Training,1.8913999999999995
449,1.842,1.368,20.72,77.91,20.9,750.0,1.0,Training,1.8080000000000003
452,1.757,1.368,20.72,77.91,20.5,757.0,1.0,Training,1.7458
453,1.618,1.368,20.72,77.91,23.0,797.0,1.0,Training,1.618
454,1.618,1.368,20.72,77.91,24.8,797.0,1.0,Training,1.618
455,1.616,1.368,20.72,77.91,21.5,802.0,1.0,Training,1.6724
457,1.742,1.368,20.72,77.91,22.1,815.0,1.0,Training,1.7566
458,2.102,1.368,20.72,77.91,19.1,820.0,1.0,Training,2.0566
459,1.896,1.368,20.72,77.91,21.2,826.0,1.0,Training,1.8681999999999999
460,1.789,1.368,20.72,77.91,21.7,831.0,1.0,Training,1.9076000000000002
461,2.038,1.368,20.72,77.91,20.5,836.0,1.0,Training,1.9914000000000003
463,2.059,1.368,20.72,77.91,21.2,849.0,1.0,Training,2.0520000000000005
465,1.908,1.368,20.72,77.91,21.8,851.0,1.0,Training,1.9669999999999999
467,2.032,1.368,20.72,77.91,21.6,882.0,1.0,Training,2.0318000000000005
468,2.031,1.368,20.72,77.91,21.5,904.0,1.0,Training,1.9628
469,1.749,1.368,20.72,77.91,20.9,931.0,1.0,Training,1.5954000000000013
470,1.675,1.368,20.72,77.91,22.7,940.0,1.0,Training,1.4184
471,1.354,1.368,20.72,77.91,21.1,955.0,1.0,Training,1.2272
472,1.236,1.368,20.72,77.91,21.7,973.0,1.0,Training,1.1496000000000002
473,1.14,1.368,20.72,77.91,19.9,984.0,1.0,Training,1.0906
474,1.05,1.368,20.72,77.91,18.9,991.0,1.0,Training,1.0130000000000001
475,0.816,1.368,20.72,77.91,19.2,1025.0,1.0,Training,0.7654000000000001
477,0.563,1.368,20.72,77.91,21.6,1046.0,1.0,Training,0.4488
478,0.458,1.368,20.72,77.91,21.0,1050.0,1.0,Training,0.43100000000000005
479,0.464,1.368,20.72,77.91,19.3,1072.0,1.0,Training,0.4640000000000001
481,0.318,1.368,20.72,77.91,18.4,1092.0,1.0,Training,0.3048
482,0.355,1.368,20.72,77.91,16.9,1100.0,1.0,Training,0.4276
484,0.249,1.368,20.72,77.91,18.1,1109.0,1.0,Training,0.23140000000000002
485,0.225,1.368,20.72,77.91,17.7,1117.0,1.0,Training,0.27320000000000005
486,0.185,1.368,20.72,77.91,19.2,1126.0,1.0,Training,0.20379999999999995
487,0.181,1.368,20.72,77.91,18.7,1138.0,1.0,Training,0.18180000000000002
488,0.176,1.368,20.72,77.91,18.1,1143.0,1.0,Training,0.1704
489,0.184,1.368,20.72,77.91,17.2,1145.0,1.0,Training,0.172
490,0.104,1.368,20.72,77.91,18.1,1177.0,1.0,Training,0.1142
491,0.116,1.368,20.72,77.91,16.3,1187.0,1.0,Training,0.1336
492,0.095,1.368,20.72,77.91,16.5,1197.0,1.0,Training,0.10800000000000001
493,0.077,1.368,20.72,77.91,16.8,1222.0,1.0,Training,0.06420000000000001
494,1.885,1.368,20.72,77.91,36.6,741.0,1.0,Training,1.7778000000000003
495,1.707,1.368,20.72,77.91,40.3,763.0,1.0,Training,1.6892
496,1.644,1.368,20.72,77.91,38.5,812.0,1.0,Training,1.6360000000000001
497,1.661,1.368,20.72,77.91,36.0,832.0,1.0,Training,1.6742
498,1.727,1.368,20.72,77.91,40.1,848.0,1.0,Training,1.6856000000000002
499,1.423,1.368,20.72,77.91,36.9,852.0,1.0,Training,1.5834000000000001
501,1.824,1.368,20.72,77.91,35.7,855.0,1.0,Training,1.791400000000001
502,1.55,1.368,20.72,77.91,39.3,888.0,1.0,Training,1.6582000000000001
503,1.64,1.368,20.72,77.91,38.1,896.0,1.0,Training,1.6767999999999998
504,1.689,1.368,20.72,77.91,34.5,904.0,1.0,Training,1.7104000000000008
505,1.483,1.368,20.72,77.91,39.9,916.0,1.0,Training,1.6572
506,1.192,1.368,20.72,77.91,36.5,945.0,1.0,Training,1.062
507,0.819,1.368,20.72,77.91,41.1,964.0,1.0,Training,0.8138000000000001
508,0.821,1.368,20.72,77.91,40.2,978.0,1.0,Training,0.7835999999999999
509,0.542,1.368,20.72,77.91,38.8,1007.0,1.0,Training,0.5202
510,0.689,1.368,20.72,77.91,40.3,1008.0,1.0,Training,0.5496000000000001
511,0.462,1.368,20.72,77.91,38.8,1021.0,1.0,Training,0.42780000000000007
512,0.456,1.368,20.72,77.91,38.6,1030.0,1.0,Training,0.4448000000000001
513,0.495,1.368,20.72,77.91,40.9,1034.0,1.0,Training,0.455
514,0.298,1.368,20.72,77.91,38.5,1054.0,1.0,Training,0.3292
515,0.169,1.368,20.72,77.91,40.2,1103.0,1.0,Training,0.16260000000000008
516,0.107,1.368,20.72,77.91,39.6,1132.0,1.0,Training,0.11020000000000002
517,0.092,1.368,20.72,77.91,40.3,1161.0,1.0,Training,0.08680000000000002
518,0.079,1.368,20.72,77.91,40.9,1162.0,1.0,Training,0.08420000000000001
519,0.096,1.368,20.72,77.91,38.7,1163.0,1.0,Training,0.091
520,0.04,1.368,20.72,77.91,40.9,1224.0,1.0,Training,0.04580000000000001
521,0.038,1.368,20.72,77.91,38.8,1229.0,1.0,Training,0.045399999999999996
522,8.311,2.038,20.58,77.38,19.8,662.0,1.5,Training,7.0782
523,6.77,2.038,20.58,77.38,20.0,670.0,1.5,Training,6.5802
525,3.656,2.038,20.58,77.38,21.1,684.0,1.5,Training,5.5855999999999995
526,2.811,2.038,20.58,77.38,18.8,701.0,1.5,Training,2.6538000000000004
527,2.528,2.038,20.58,77.38,23.0,706.0,1.5,Training,2.2652
529,1.72,2.038,20.58,77.38,19.7,717.0,1.5,Training,1.9468
530,1.973,2.038,20.58,77.38,21.1,724.0,1.5,Training,1.9058000000000002
531,1.709,2.038,20.58,77.38,18.7,743.0,1.5,Training,1.7112000000000003
532,1.832,2.038,20.58,77.38,19.6,759.0,1.5,Training,1.7872000000000001
534,1.678,2.038,20.58,77.38,21.0,810.0,1.5,Training,1.7446
535,1.651,2.038,20.58,77.38,18.4,813.0,1.5,Training,1.6626000000000003
536,2.052,2.038,20.58,77.38,19.6,832.0,1.5,Training,1.9961999999999998
537,1.761,2.038,20.58,77.38,19.1,837.0,1.5,Training,1.9404000000000001
538,2.064,2.038,20.58,77.38,19.2,854.0,1.5,Training,2.063
539,1.655,2.038,20.58,77.38,22.2,880.0,1.5,Training,1.797800000000001
540,1.662,2.038,20.58,77.38,23.4,894.0,1.5,Training,1.6940000000000006
542,1.612,2.038,20.58,77.38,20.5,910.0,1.5,Training,1.798800000000001
544,0.816,2.038,20.58,77.38,23.2,989.0,1.5,Training,0.9123999999999992
545,0.756,2.038,20.58,77.38,18.9,1004.0,1.5,Training,0.9974000000000001
547,0.522,2.038,20.58,77.38,21.7,1014.0,1.5,Training,0.5653999999999993
548,0.524,2.038,20.58,77.38,20.9,1020.0,1.5,Training,0.5317999999999999
549,0.541,2.038,20.58,77.38,20.4,1021.0,1.5,Training,0.5319999999999999
550,0.371,2.038,20.58,77.38,22.4,1049.0,1.5,Training,0.4268
551,0.279,2.038,20.58,77.38,21.9,1075.0,1.5,Training,0.2896
552,0.291,2.038,20.58,77.38,22.3,1088.0,1.5,Training,0.2862
553,0.243,2.038,20.58,77.38,21.9,1101.0,1.5,Training,0.2521999999999999
554,0.14,2.038,20.58,77.38,23.4,1121.0,1.5,Training,0.15360000000000004
555,0.13,2.038,20.58,77.38,20.5,1142.0,1.5,Training,0.1292
556,0.155,2.038,20.58,77.38,18.9,1132.0,1.5,Training,0.14540000000000003
557,0.119,2.038,20.58,77.38,20.3,1157.0,1.5,Training,0.12140000000000001
558,0.114,2.038,20.58,77.38,19.9,1160.0,1.5,Training,0.1148
561,1.621,1.171,20.76,78.07,22.5,700.0,1.0,Training,2.4206000000000003
562,1.334,1.171,20.76,78.07,20.6,717.0,1.0,Training,1.6468
563,1.245,1.171,20.76,78.07,20.1,732.0,1.0,Training,1.6674
564,1.453,1.171,20.76,78.07,19.6,759.0,1.0,Training,1.4214000000000002
565,1.457,1.171,20.76,78.07,20.3,804.0,1.0,Training,1.6498000000000002
566,1.295,1.171,20.76,78.07,20.0,832.0,1.0,Training,1.5956000000000001
567,1.674,1.171,20.76,78.07,19.8,857.0,1.0,Training,1.3906
568,1.547,1.171,20.76,78.07,18.7,870.0,1.0,Training,1.4408
569,1.362,1.171,20.76,78.07,18.7,926.0,1.0,Training,1.3802000000000003
570,1.142,1.171,20.76,78.07,20.9,942.0,1.0,Training,1.1851999999999998
571,1.037,1.171,20.76,78.07,20.1,956.0,1.0,Training,1.4112
572,0.593,1.171,20.76,78.07,19.6,1016.0,1.0,Training,0.7267999999999999
573,0.423,1.171,20.76,78.07,24.0,1044.0,1.0,Training,0.39599999999999996
574,0.387,1.171,20.76,78.07,20.8,1046.0,1.0,Training,0.391
575,0.343,1.171,20.76,78.07,20.0,1066.0,1.0,Training,0.35760000000000003
576,0.292,1.171,20.76,78.07,19.0,1086.0,1.0,Training,0.462
577,0.221,1.171,20.76,78.07,20.3,1119.0,1.0,Training,0.25539999999999996
578,0.161,1.171,20.76,78.07,19.8,1142.0,1.0,Training,0.17680000000000004
580,0.083,1.171,20.76,78.07,20.0,1180.0,1.0,Training,0.11440000000000002
581,0.039,1.171,20.76,78.07,20.8,1260.0,1.0,Training,0.05
582,3.562,1.286,20.74,77.97,19.2,651.0,1.0,Training,5.594200000000001
583,1.557,1.286,20.74,77.97,19.8,689.0,1.0,Training,6.217600000000001
584,1.161,1.286,20.74,77.97,18.5,715.0,1.0,Training,1.5304
586,1.19,1.286,20.74,77.97,18.0,808.0,1.0,Training,3.1364
587,0.99,1.286,20.74,77.97,21.4,811.0,1.0,Training,1.0076
588,1.078,1.286,20.74,77.97,21.0,880.0,1.0,Training,1.0428000000000002
589,1.192,1.286,20.74,77.97,20.2,904.0,1.0,Training,1.0884
590,1.001,1.286,20.74,77.97,22.5,942.0,1.0,Training,1.2764000000000002
592,0.376,1.286,20.74,77.97,21.4,1072.0,1.0,Training,0.37179999999999996
593,0.278,1.286,20.74,77.97,22.3,1097.0,1.0,Training,0.26220000000000004
594,0.223,1.286,20.74,77.97,19.2,1112.0,1.0,Training,0.21660000000000004
595,0.074,1.286,20.74,77.97,19.0,1212.0,1.0,Training,0.09360000000000002
596,0.029,1.286,20.74,77.97,19.9,1290.0,1.0,Training,0.0462
597,6.642,1.258,20.74,78.0,21.5,681.0,1.0,Training,6.6664
598,5.995,1.258,20.74,78.0,20.4,687.0,1.0,Training,6.217600000000001
599,3.06,1.258,20.74,78.0,20.4,734.0,1.0,Training,2.8784000000000005
601,2.686,1.258,20.74,78.0,20.0,869.0,1.0,Training,2.5292000000000003
603,1.162,1.258,20.74,78.0,20.2,977.0,1.0,Training,1.1074
604,1.038,1.258,20.74,78.0,20.0,989.0,1.0,Training,0.9844000000000002
605,0.563,1.258,20.74,78.0,20.4,1033.0,1.0,Training,0.5533999999999999
606,0.303,1.258,20.74,78.0,21.5,1080.0,1.0,Training,0.3078
607,0.135,1.258,20.74,78.0,20.3,1151.0,1.0,Training,0.1342
608,0.07,1.258,20.74,78.0,20.5,1213.0,1.0,Training,0.07
609,0.045,1.258,20.74,78.0,20.8,1252.0,1.0,Training,0.053799999999999994
610,0.027,1.258,20.74,78.0,21.9,1323.0,1.0,Training,0.04419999999999999
611,6.9798,0.59,20.88,78.53,10.88,921.5,0.5,Training,4.30248
612,3.2174,0.59,20.88,78.53,10.88,968.9,0.5,Training,3.2252999999999994
614,0.8717,0.59,20.88,78.53,10.88,1084.6,0.5,Training,0.8580200000000003
616,0.2536,0.59,20.88,78.53,10.88,1237.2,0.5,Training,0.25074000000000024
618,7.232,0.59,20.88,78.53,10.88,785.2,0.5,Training,6.307259999999999
619,6.4533,0.59,20.88,78.53,10.88,844.1,0.5,Training,6.885660000000001
620,6.7579,0.59,20.88,78.53,10.88,881.9,0.5,Training,6.22088
621,4.25,0.59,20.88,78.53,10.88,933.0,0.5,Training,3.866599999999998
622,3.2964,0.59,20.88,78.53,10.88,952.6,0.5,Training,3.3034
623,0.3403,0.59,20.88,78.53,10.88,1161.7,0.5,Training,0.44258
625,2.2723,0.59,20.88,78.53,10.88,999.8,0.5,Training,2.2205800000000004
626,0.8375,0.59,20.88,78.53,10.88,1066.1,0.5,Training,1.3973000000000022
628,5.7043,1.18,20.75,78.07,10.88,773.2,1.0,Training,5.82892
629,6.3575,1.18,20.75,78.07,10.88,829.0,1.0,Training,6.526800000000001
630,4.5319,1.18,20.75,78.07,10.88,891.7,1.0,Training,4.70312
631,2.4805,1.18,20.75,78.07,10.88,952.1,1.0,Training,2.55388
633,0.9814,1.18,20.75,78.07,10.88,1047.1,1.0,Training,1.07312
634,0.5424,1.18,20.75,78.07,10.88,1102.0,1.0,Training,0.6154400000000001
635,0.3977,1.18,20.75,78.07,10.88,1141.7,1.0,Training,0.43528000000000006
636,0.2137,1.18,20.75,78.07,10.88,1226.5,1.0,Training,0.24502000000000024
637,4.9193,1.76,20.63,77.61,10.88,795.9,1.5,Training,5.395720000000001
638,4.3233,1.76,20.63,77.61,10.88,749.4,1.5,Training,4.9378400000000005
639,5.8276,1.76,20.63,77.61,10.88,832.7,1.5,Training,6.102880000000001
640,4.9722,1.76,20.63,77.61,10.88,883.7,1.5,Training,4.87924
641,1.9295,1.76,20.63,77.61,10.88,960.8,1.5,Training,2.4085800000000006
644,0.4712,1.76,20.63,77.61,10.88,1109.6,1.5,Training,0.50828
645,0.2169,1.76,20.63,77.61,10.88,1225.8,1.5,Training,0.24232
646,10.0378,0.59,10.44,88.97,10.88,817.0,1.0,Training,11.551800000000002
647,8.8067,0.59,10.44,88.97,10.88,864.4,1.0,Training,8.8067
649,6.2996,0.59,10.44,88.97,10.88,922.1,1.0,Training,6.244999999999999
650,0.5574,0.59,10.44,88.97,10.88,1157.0,1.0,Training,0.6634220000000001
651,3.5289,0.59,10.44,88.97,10.88,958.6,1.0,Training,3.5289
652,1.5373,0.59,10.44,88.97,10.88,1044.6,1.0,Training,1.84514
656,4.4196,0.59,10.44,88.97,10.88,947.6,1.0,Training,4.24146
657,2.5072,0.59,10.44,88.97,10.88,1008.5,1.0,Training,2.4145600000000003
658,1.0052,0.59,10.44,88.97,10.88,1099.5,1.0,Training,1.01708
659,0.5186,0.59,10.44,88.97,10.88,1185.7,1.0,Training,0.5948800000000001
660,0.2088,0.59,10.44,88.97,10.88,1302.0,1.0,Training,0.21118140000000007
661,0.0827,0.59,10.44,88.97,10.88,1397.4,1.0,Training,0.13104000000000002
663,11.4041,0.59,10.44,88.97,10.88,907.0,1.0,Training,8.27542
665,2.2017,0.59,10.44,88.97,10.88,1059.8,1.0,Training,1.9402800000000022
666,1.2128,0.59,10.44,88.97,10.88,1118.9,1.0,Training,1.0172792
667,0.6199,0.59,10.44,88.97,10.88,1211.9,1.0,Training,0.6199
668,0.2564,0.59,10.44,88.97,10.88,1335.3,1.0,Training,0.2121400000000001
669,0.1167,0.59,10.44,88.97,10.88,1437.1,1.0,Training,0.10702800000000001
670,11.3219,0.59,6.96,92.45,10.88,900.7,1.5,Training,10.02682
671,7.2795,0.59,6.96,92.45,10.88,939.4,1.5,Training,6.908100000000001
673,5.1542,0.59,6.96,92.45,10.88,979.0,1.5,Training,6.1729
674,1.2998,0.59,6.96,92.45,10.88,1129.6,1.5,Training,1.1596400000000002
675,2.2588,0.59,6.96,92.45,10.88,1065.3,1.5,Training,2.0067800000000022
676,0.4796,0.59,6.96,92.45,10.88,1272.7,1.5,Training,0.4896800000000001
677,0.6974,0.59,6.96,92.45,10.88,1191.8,1.5,Training,0.7220522000000001
678,2.968,0.59,6.96,92.45,10.88,1039.0,1.5,Training,2.23748
680,0.9277,0.59,6.96,92.45,10.88,1174.3,1.5,Training,0.8856020000000001
687,0.7992,0.59,6.96,92.45,10.88,1251.7,1.5,Training,0.67452
689,0.355,0.39,20.93,78.68,14.1,1169.0,0.3,Training,0.38446
690,0.716,0.39,20.93,78.68,15.2,1105.4,0.3,Training,0.8610000000000002
691,1.574,0.39,20.93,78.68,16.3,1034.3,0.3,Training,1.6972000000000003
692,0.148,0.39,20.93,78.68,29.6,1195.6,0.3,Training,0.17280000000000004
693,0.226,0.39,20.93,78.68,28.9,1171.8,0.3,Training,0.21040000000000145
694,0.755,0.39,20.93,78.68,27.5,1061.5,0.3,Training,1.0443400000000043
695,1.179,0.39,20.93,78.68,25.9,1036.8,0.3,Training,1.2964000000000002
696,2.242,0.39,20.93,78.68,28.1,974.5,0.3,Training,2.1296
697,3.889,0.39,20.93,78.68,24.8,928.5,0.3,Training,3.178599999999995
698,4.671,0.39,20.93,78.68,27.7,874.9,0.3,Training,3.6477999999999953
699,4.025,0.39,20.93,78.68,30.4,854.6,0.3,Training,4.025000000000005
700,5.142,0.39,20.93,78.68,25.5,848.4,0.3,Training,3.9706000000000006
701,4.777,0.39,20.93,78.68,31.5,814.8,0.3,Training,4.175400000000003
702,0.064,1.28,20.74,77.98,16.8,1235.7,1.0,Training,0.0604
703,0.175,1.28,20.74,77.98,14.9,1174.3,1.0,Training,0.2798
704,0.266,1.28,20.74,77.98,16.1,1110.6,1.0,Training,0.48600000000000004
705,0.931,1.28,20.74,77.98,15.7,998.1,1.0,Training,0.9890000000000001
706,3.865,1.28,20.74,77.98,14.7,876.9,1.0,Training,3.9983800000000005
707,5.528,1.28,20.74,77.98,15.3,838.4,1.0,Training,5.503999999999999
708,5.535,1.28,20.74,77.98,13.1,750.0,1.0,Training,5.82166
709,5.533,1.28,20.74,77.98,14.9,734.3,1.0,Training,5.28806
711,8.176,1.28,20.74,77.98,16.2,702.1,1.0,Training,6.839600000000001
712,0.042,1.28,20.74,77.98,31.0,1194.5,1.0,Training,0.06120000000000001
713,0.203,1.28,20.74,77.98,30.5,1087.2,1.0,Training,0.223
714,0.695,1.28,20.74,77.98,30.5,998.0,1.0,Training,0.6626
715,1.759,1.28,20.74,77.98,29.4,925.7,1.0,Training,1.5730000000000002
716,2.233,1.28,20.74,77.98,29.0,872.6,1.0,Training,1.9072
717,3.109,1.276,20.74,77.984,23.3,874.0,1.0,Training,2.6322000000000005
718,2.355,1.276,20.74,77.984,25.1,880.0,1.0,Training,2.4814000000000007
719,1.23,1.276,20.74,77.984,31.4,934.0,1.0,Training,1.5848000000000004
720,1.358,1.276,20.74,77.984,24.0,952.0,1.0,Training,1.2866000000000004
722,1.412,1.276,20.74,77.984,21.7,963.0,1.0,Training,1.3244
723,0.777,1.276,20.74,77.984,32.5,974.0,1.0,Training,0.7842000000000001
724,0.984,1.276,20.74,77.984,21.3,987.0,1.0,Training,1.03
725,0.641,1.276,20.74,77.984,32.1,997.0,1.0,Training,0.7073999999999999
726,0.4,1.276,20.74,77.984,36.1,1022.0,1.0,Training,0.3884000000000001
727,0.539,1.276,20.74,77.984,21.9,1035.0,1.0,Training,0.5451999999999999
730,0.138,1.276,20.74,77.984,24.8,1130.0,1.0,Training,0.15999999999999998
732,0.052,1.276,20.74,77.984,27.0,1192.0,1.0,Training,0.07880000000000004
733,0.034,1.276,20.74,77.984,29.2,1220.0,1.0,Training,0.0352
734,0.528,1.276,20.74,77.984,49.3,961.0,1.0,Training,0.627
735,0.286,1.276,20.74,77.984,50.9,1009.0,1.0,Training,0.3666000000000009
737,0.08,1.276,20.74,77.984,47.8,1124.0,1.0,Training,0.12500000000000014
738,1.82,0.615,10.0,89.385,18.9,1025.0,1.0,Training,1.4540000000000002
740,1.109,0.615,10.0,89.385,19.7,1067.0,1.0,Training,1.1090000000000066
741,1.137,0.615,10.0,89.385,17.7,1072.0,1.0,Training,0.9442
742,1.005,0.615,10.0,89.385,18.3,1081.0,1.0,Training,1.0313999999999999
743,0.818,0.615,10.0,89.385,20.2,1092.0,1.0,Training,0.7110000000000001
745,0.646,0.615,10.0,89.385,17.3,1124.0,1.0,Training,0.5990000000000003
746,0.569,0.615,10.0,89.385,17.7,1127.0,1.0,Training,0.5836000000000002
748,2.584,1.276,20.74,77.984,21.8,753.0,1.0,Training,2.689
749,2.423,1.276,20.74,77.984,21.5,763.0,1.0,Training,2.5078
750,2.566,1.276,20.74,77.984,19.4,774.0,1.0,Training,2.5774000000000004
752,2.742,1.276,20.74,77.984,19.7,786.0,1.0,Training,2.5774000000000004
753,2.628,1.276,20.74,77.984,20.8,808.0,1.0,Training,2.5488
754,1.961,0.642,20.87,78.488,19.6,970.0,0.5,Training,1.6106000000000003
755,0.917,0.642,20.87,78.488,21.0,1032.0,0.5,Training,1.0
756,0.873,0.642,20.87,78.488,19.9,1039.0,0.5,Training,0.9388000000000001
757,0.53,0.642,20.87,78.488,19.9,1081.0,0.5,Training,0.5300000000000001
758,0.463,0.642,20.87,78.488,22.2,1081.0,0.5,Training,0.5032
759,0.11,0.642,20.87,78.488,22.1,1187.0,0.5,Training,0.11760000000000004
760,0.973,1.276,20.74,77.984,26.4,1000.0,1.0,Training,0.9065999999999991
761,0.208,1.276,20.74,77.984,26.2,1100.0,1.0,Training,0.20800000000000002
762,0.123,1.276,20.74,77.984,25.5,1137.0,1.0,Training,0.11499999999999999
763,0.131,1.276,20.74,77.984,21.8,1145.0,1.0,Training,0.11960000000000003
764,0.072,1.276,20.74,77.984,26.1,1172.0,1.0,Training,0.1176
765,0.07,1.276,20.74,77.984,21.9,1187.0,1.0,Training,0.06880000000000001
766,0.064,1.276,20.74,77.984,22.2,1194.0,1.0,Training,0.068
768,0.567,1.1282,21.0,77.8718,2.69,1290.0,1.01,Training,0.5187999999999998
769,0.778,1.117,21.0,77.883,3.08,1232.0,1.0,Training,0.778
770,1.417,1.1058,21.0,77.8942,2.99,1147.0,0.99,Training,1.4804000000000004
771,0.878,1.1058,21.0,77.8942,3.09,1210.0,0.99,Training,0.8398
772,0.368,1.0723,21.0,77.9277,2.52,1331.0,0.96,Training,0.27080000000000004
773,0.659,1.1952,21.0,77.8048,3.23,1221.0,1.07,Training,0.6798000000000001
774,0.1095,1.0947,21.0,77.9053,6.64,1363.0,0.98,Training,0.0892
775,0.268,1.1393,21.0,77.8607,6.08,1244.0,1.02,Training,0.3786
776,0.1062,1.1729,21.0,77.8272,6.81,1364.0,1.05,Training,0.08907999999999999
777,0.492,1.1282,21.0,77.8718,6.26,1168.0,1.01,Training,0.4730000000000001
778,0.393,1.1952,21.0,77.8048,7.39,1168.0,1.07,Training,0.418
779,0.57,1.2399,21.0,77.7601,7.69,1127.0,1.11,Training,0.6818
780,1.118,1.2846,21.0,77.7155,8.27,1070.0,1.15,Training,1.3496
782,1.227,1.0723,21.0,77.9277,8.15,1069.0,0.96,Training,1.4269999999999998
784,0.196,0.5027,21.0,78.4974,6.59,1278.0,0.45,Training,0.2692
785,0.451,0.5585,21.0,78.4415,7.37,1173.0,0.5,Training,0.46280000000000004
786,0.714,0.6032,21.0,78.3968,7.74,1126.0,0.54,Training,0.714
787,1.515,0.6367,21.0,78.3633,8.19,1053.0,0.57,Training,1.6814
788,1.231,2.4462,21.0,76.5538,8.2,1070.0,2.19,Training,4.619800000000001
789,0.348,1.3828,21.0,77.6172,5.98,1201.0,1.07,Training,0.3632000000000001
791,0.813,1.4732,21.0,77.5268,6.01,1128.0,1.14,Training,0.7245999999999997
793,0.533,1.6575,21.0,77.3425,6.04,1175.0,1.18,Training,0.4474
794,0.471,1.798,21.0,77.202,5.98,1193.0,1.28,Training,0.39420000000000005
795,2.488,1.9104,21.0,77.0896,5.57,1065.0,1.36,Training,2.0764
796,0.859,1.5732,21.0,77.4268,6.17,1136.0,1.12,Training,0.6004
797,0.272,1.2034,21.0,77.7966,6.14,1210.0,1.0,Training,0.41980000000000006
798,0.511,1.0951,21.0,77.9049,6.27,1148.0,0.91,Training,0.5016
799,1.681,1.6246,21.0,77.3754,5.73,1055.0,1.35,Training,1.681
800,0.703,1.408,21.0,77.592,6.36,1123.0,1.17,Training,0.6806
801,1.422,0.9463,21.0,78.0537,5.26,1095.0,0.81,Training,1.1388
802,0.633,1.3085,21.0,77.6915,5.23,1162.0,1.12,Training,0.5436
803,0.279,1.3085,21.0,77.6915,5.22,1225.0,1.12,Training,0.45120000000000005
804,0.518,1.0982,21.0,77.9018,5.76,1165.0,0.94,Training,0.518
805,0.833,1.0398,21.0,77.9602,5.77,1133.0,0.89,Training,0.8341999999999999
806,0.112,1.6929,21.0,0.0,16.1,1220.0,1.31,Training,0.13720000000000085
807,0.257,1.9772,21.0,0.0,17.9,1120.0,1.53,Training,0.25680000000000003
808,0.149,1.8351,21.0,0.0,17.0,1188.0,1.42,Training,0.1512000000000008
809,0.729,0.7754,21.0,0.0,17.26,1054.0,0.6,Training,0.7134
810,0.299,1.0855,21.0,0.0,17.3,1140.0,0.84,Training,0.2776
811,0.296,1.3957,21.0,0.0,18.1,1105.0,1.08,Training,0.27480000000000004
813,0.275,1.512,21.0,0.0,17.9,1108.0,1.17,Training,0.2622
814,0.19,1.3698,21.0,0.0,34.11,1107.0,1.06,Training,0.1886
815,0.187,1.2535,21.0,0.0,33.85,1092.0,0.97,Training,0.17880000000000001
816,0.25,1.2148,21.0,0.0,34.59,1080.0,0.94,Training,0.33379999999999965
817,0.418,1.4215,21.0,0.0,35.95,1022.0,1.1,Training,0.4256
818,0.532,0.2511,4.0,0.0,11.96,1286.0,1.02,Training,0.5204000000000001
819,1.309,0.256,4.0,0.0,12.4,1205.0,1.04,Training,1.241
820,0.783,0.2585,4.0,0.0,12.26,1244.0,1.05,Training,0.754
821,2.498,0.256,4.0,0.0,12.55,1155.0,1.04,Training,2.1028
822,1.806,0.2634,4.0,0.0,12.42,1181.0,1.07,Training,1.8060000000000003
823,0.483,0.2732,4.0,0.0,12.22,1290.0,1.11,Training,0.6186
826,2.039,0.2486,4.0,0.0,12.87,1173.0,1.01,Training,1.9898
827,0.365,0.2732,4.0,0.0,15.12,1317.0,1.11,Training,0.3718
828,0.232,0.2511,4.0,0.0,14.8,1374.0,1.02,Training,0.24380000000000002
829,0.53,0.2732,4.0,0.0,15.42,1274.0,1.11,Training,0.5234
830,0.79,0.2806,4.0,0.0,15.56,1229.0,1.14,Training,0.8313999999999999
831,1.05,0.2757,4.0,0.0,15.83,1198.0,1.12,Training,1.2944
832,2.2,0.2782,4.0,0.0,15.98,1154.0,1.13,Training,2.215
833,0.653,0.1058,4.0,0.0,12.54,1231.0,0.43,Training,0.6628000000000001
834,1.279,0.1206,4.0,0.0,12.65,1193.0,0.49,Training,1.2984000000000002
