Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,PHI,Set,IDT_ms_pred
91,0.042,1.3,20.73,77.98,10.78,1343.2,1.0,Training,0.06300000000000001
92,0.945,2.56,20.46,76.98,2.07,1169.5,2.0,Training,0.7486
93,0.933,2.56,20.46,76.98,2.1,1182.7,2.0,Training,0.7486
95,0.46,2.56,20.46,76.98,2.1,1284.8,2.0,Training,0.30740000000000006
96,0.434,2.56,20.46,76.98,2.0,1300.2,2.0,Training,0.3615999999999999
97,0.281,2.56,20.46,76.98,1.99,1347.0,2.0,Training,0.331
98,0.175,2.56,20.46,76.98,2.0,1402.6,2.0,Training,0.3126
99,0.142,2.56,20.46,76.98,2.08,1487.5,2.0,Training,0.12699999999999997
100,0.092,2.56,20.46,76.98,1.98,1544.4,2.0,Training,0.10319999999999999
101,1.875,2.56,20.46,76.98,9.68,1020.8,2.0,Training,6.463
102,0.731,2.56,20.46,76.98,10.65,1075.0,2.0,Training,4.440400000000003
103,0.338,2.56,20.46,76.98,9.38,1136.9,2.0,Training,0.40940000000000004
104,0.151,2.56,20.46,76.98,10.38,1218.1,2.0,Training,0.205
105,0.085,2.56,20.46,76.98,9.63,1279.5,2.0,Training,2.1542000000000003
107,1.472,0.64,20.87,78.5,1.92,1131.9,0.5,Training,1.3694
108,0.806,0.64,20.87,78.5,2.09,1179.2,0.5,Training,0.8648
109,0.368,0.64,20.87,78.5,2.1,1229.6,0.5,Training,0.4556
110,0.271,0.64,20.87,78.5,2.02,1294.0,0.5,Training,0.33879999999999943
112,0.08,0.64,20.87,78.5,2.02,1408.6,0.5,Training,0.09400000000000001
114,1.82,0.64,20.87,78.5,9.42,1025.2,0.5,Training,1.9096000000000004
115,0.77,0.64,20.87,78.5,10.44,1099.3,0.5,Training,0.8251999999999999
116,0.444,0.64,20.87,78.5,10.23,1134.9,0.5,Training,0.6096000000000003
119,0.166,0.64,20.87,78.5,9.99,1266.7,0.5,Training,0.177
121,0.032,0.64,20.87,78.5,10.14,1357.7,0.5,Training,0.045200000000000004
122,1.322,1.27,20.73,78.0,2.07,1123.1,1.0,Training,1.2534
124,0.61,1.27,20.73,78.0,2.04,1212.9,1.0,Training,0.8276
126,0.533,1.27,20.73,78.0,2.09,1251.9,1.0,Training,0.6454000000000001
128,0.15,1.27,20.73,78.0,2.02,1409.2,1.0,Training,0.15000000000000002
129,0.095,1.27,20.73,78.0,1.9,1456.7,1.0,Training,0.1154
130,0.052,1.27,20.73,78.0,2.06,1532.2,1.0,Training,0.0604
131,0.035,1.27,20.73,78.0,2.09,1591.1,1.0,Training,0.039600000000000156
132,1.2,1.27,20.73,78.0,10.07,1052.8,1.0,Training,1.3294000000000001
134,0.401,1.27,20.73,78.0,10.21,1129.8,1.0,Training,0.5088
135,0.342,1.27,20.73,78.0,9.25,1161.7,1.0,Training,0.40380000000000005
136,0.249,1.27,20.73,78.0,9.47,1202.1,1.0,Training,0.25700000000000006
138,0.046,1.27,20.73,78.0,9.55,1371.7,1.0,Training,0.07059999999999998
139,0.012,1.27,20.73,78.0,10.63,1470.8,1.0,Training,0.02920000000000102
141,0.687,2.5,20.48,77.03,1.92,1180.5,2.0,Training,0.7072000000000003
142,0.665,2.5,20.48,77.03,1.97,1223.5,2.0,Training,0.6034000000000002
143,0.393,2.5,20.48,77.03,2.1,1271.9,2.0,Training,0.3406
144,0.245,2.5,20.48,77.03,1.96,1288.7,2.0,Training,0.29400000000000004
146,0.08,2.5,20.48,77.03,2.07,1526.9,2.0,Training,0.07460000000000001
147,0.068,2.5,20.48,77.03,1.93,1576.1,2.0,Training,0.0704
148,1.36,2.5,20.48,77.03,10.23,1038.5,2.0,Training,1.2776000000000003
150,0.484,2.5,20.48,77.03,10.57,1092.2,2.0,Training,0.6390000000000001
151,0.421,2.5,20.48,77.03,10.44,1117.9,2.0,Training,0.46020000000000005
154,0.137,2.5,20.48,77.03,9.45,1270.7,2.0,Training,0.1364
155,0.076,2.5,20.48,77.03,9.48,1320.8,2.0,Training,0.0742
156,0.046,2.5,20.48,77.03,10.2,1373.5,2.0,Training,0.060200000000000024
158,0.692,0.64,20.87,78.5,10.84,1137.6,0.5,Training,0.5927999999999999
162,0.272,0.64,20.87,78.5,10.01,1230.4,0.5,Training,0.2538
163,0.206,0.64,20.87,78.5,9.57,1274.8,0.5,Training,0.1824
164,0.118,0.64,20.87,78.5,9.94,1346.6,0.5,Training,0.1124
166,0.036,0.64,20.87,78.5,10.3,1521.3,0.5,Training,0.0422
168,0.93,1.27,20.73,78.0,9.72,1086.8,1.0,Training,1.2200000000000002
170,0.408,1.27,20.73,78.0,10.31,1164.4,1.0,Training,0.37660000000000005
172,0.116,1.27,20.73,78.0,10.24,1313.9,1.0,Training,0.10240000000000003
173,0.086,1.27,20.73,78.0,9.49,1367.3,1.0,Training,0.06999999999999999
176,0.948,2.5,20.48,77.03,10.34,1063.3,2.0,Training,1.045
177,0.446,2.5,20.48,77.03,10.77,1132.2,2.0,Training,0.3854000000000001
178,0.276,2.5,20.48,77.03,9.73,1186.5,2.0,Training,0.28500000000000003
179,0.148,2.5,20.48,77.03,9.73,1285.1,2.0,Training,0.1236
180,0.07,2.5,20.48,77.03,9.82,1388.9,2.0,Training,0.055999999999999994
181,0.052,2.5,20.48,77.03,10.61,1437.0,2.0,Training,0.043999999999999984
182,0.04,2.5,20.48,77.03,10.56,1486.1,2.0,Training,0.04486799999999999
185,0.5,0.64,20.87,78.5,10.25,1161.9,0.5,Training,0.44520000000000004
186,0.352,0.64,20.87,78.5,9.43,1227.4,0.5,Training,0.32000000000000006
190,0.098,0.64,20.87,78.5,10.09,1405.7,0.5,Training,0.08920000000000002
191,0.069,0.64,20.87,78.5,9.59,1470.2,0.5,Training,0.05760000000000001
192,0.054,0.64,20.87,78.5,10.04,1502.8,0.5,Training,0.054000000000000006
193,1.128,1.27,20.73,78.0,10.55,1072.3,1.0,Training,1.033
195,0.464,1.27,20.73,78.0,10.12,1155.7,1.0,Training,0.44160000000000005
196,0.323,1.27,20.73,78.0,10.14,1207.1,1.0,Training,0.284
198,0.16,1.27,20.73,78.0,10.03,1301.8,1.0,Training,0.11600000000000002
201,0.044,1.27,20.73,78.0,10.24,1517.0,1.0,Training,0.044
202,0.705,2.5,20.48,77.03,10.05,1082.1,2.0,Training,0.9380000000000002
204,0.399,2.5,20.48,77.03,9.98,1148.9,2.0,Training,0.44020000000000004
205,0.321,2.5,20.48,77.03,10.34,1165.2,2.0,Training,0.38780000000000003
206,0.184,2.5,20.48,77.03,10.06,1253.3,2.0,Training,0.20600000000000002
207,0.107,2.5,20.48,77.03,9.8,1348.3,2.0,Training,0.0742
209,0.05,2.5,20.48,77.03,9.91,1493.8,2.0,Training,0.050468000000000006
210,1.462,0.61,20.87,78.52,2.77,1155.0,0.5,Training,1.3124
211,1.278,0.61,20.87,78.52,2.84,1171.5,0.5,Training,1.0908
212,0.848,0.61,20.87,78.52,3.01,1202.1,0.5,Training,0.8398
213,0.628,0.61,20.87,78.52,3.22,1237.6,0.5,Training,0.6635999999999999
214,0.372,0.61,20.87,78.52,3.02,1304.5,0.5,Training,0.34020000000000006
215,0.236,0.61,20.87,78.52,3.2,1339.3,0.5,Training,0.25200000000000006
216,0.158,0.61,20.87,78.52,3.05,1411.6,0.5,Training,0.158
217,0.114,0.61,20.87,78.52,3.01,1451.9,0.5,Training,0.13
218,0.073,0.61,20.87,78.52,3.06,1513.3,0.5,Training,0.07600000000000001
219,0.244,0.61,20.87,78.52,11.2,1261.3,0.5,Training,0.2114
221,0.176,0.61,20.87,78.52,10.01,1300.3,0.5,Training,0.15316000000000002
222,1.496,0.61,20.87,78.52,9.73,1087.5,0.5,Training,1.5344000000000002
223,0.774,0.61,20.87,78.52,8.79,1135.3,0.5,Training,0.7132000000000001
224,0.09,0.61,20.87,78.52,9.89,1392.7,0.5,Training,0.08000000000000002
225,0.062,0.61,20.87,78.52,9.98,1448.9,0.5,Training,0.0572
226,0.704,0.61,20.87,78.52,9.3,1144.2,0.5,Training,0.46940000000000004
227,0.5,0.61,20.87,78.52,9.84,1172.0,0.5,Training,0.4740600000000001
229,0.28,1.25,20.74,78.01,3.17,1331.5,1.0,Training,0.22400000000000003
230,0.106,1.25,20.74,78.01,3.32,1466.8,1.0,Training,0.0984
231,0.24,1.25,20.74,78.01,2.73,1342.5,1.0,Training,0.2628000000000001
232,0.084,1.25,20.74,78.01,3.0,1499.3,1.0,Training,0.067
235,0.426,1.25,20.74,78.01,3.24,1282.5,1.0,Training,0.382
236,0.724,1.25,20.74,78.01,3.13,1221.3,1.0,Training,0.6528
237,1.464,1.25,20.74,78.01,3.1,1156.0,1.0,Training,1.3696000000000002
238,0.188,1.25,20.74,78.01,2.92,1383.1,1.0,Training,0.18359999999999999
239,0.646,1.25,20.74,78.01,10.67,1130.2,1.0,Training,0.6886000000000001
243,0.058,1.25,20.74,78.01,10.26,1416.4,1.0,Training,0.05660000000000001
246,0.07,1.25,20.74,78.01,10.65,1389.2,1.0,Training,0.06400000000000103
247,0.514,2.47,20.48,77.05,3.3,1248.5,2.0,Training,0.5481999999999999
248,1.418,2.47,20.48,77.05,3.27,1137.1,2.0,Training,1.102
249,0.39,2.47,20.48,77.05,2.9,1281.7,2.0,Training,0.3753999999999999
250,0.251,2.47,20.48,77.05,3.16,1328.5,2.0,Training,0.2554
251,0.166,2.47,20.48,77.05,2.97,1394.6,2.0,Training,0.17120000000000002
252,0.08,2.47,20.48,77.05,3.11,1474.3,2.0,Training,0.08300000000000002
254,0.81,2.47,20.48,77.05,2.92,1187.0,2.0,Training,0.7682000000000002
255,0.346,2.47,20.48,77.05,9.43,1171.8,2.0,Training,0.316
256,0.482,2.47,20.48,77.05,10.97,1115.8,2.0,Training,0.49900000000000005
257,1.021,2.47,20.48,77.05,10.34,1063.5,2.0,Training,1.2414
258,0.166,2.47,20.48,77.05,10.85,1241.1,2.0,Training,0.16960000000000003
259,0.056,2.47,20.48,77.05,10.22,1392.9,2.0,Training,0.0654
260,0.084,2.47,20.48,77.05,10.54,1329.8,2.0,Training,0.09200000000000001
262,1.519,0.64,20.86,78.5,2.95,1141.1,0.5,Training,1.4302
263,0.849,0.64,20.86,78.5,3.03,1205.1,0.5,Training,0.831
264,0.51,0.64,20.86,78.5,3.05,1259.3,0.5,Training,0.46660000000000007
265,0.259,0.64,20.86,78.5,2.98,1320.9,0.5,Training,0.3382
266,0.138,0.64,20.86,78.5,3.04,1409.0,0.5,Training,0.13040000000000002
267,0.071,0.64,20.86,78.5,2.9,1475.0,0.5,Training,0.08039999999999999
268,1.54,0.64,20.86,78.5,10.03,1081.3,0.5,Training,1.3282000000000003
269,0.985,0.64,20.86,78.5,9.57,1128.9,0.5,Training,0.8646000000000001
271,0.27,0.64,20.86,78.5,10.35,1248.8,0.5,Training,0.22499999999999976
272,0.222,0.64,20.86,78.5,10.29,1276.1,0.5,Training,0.1914
273,0.145,0.64,20.86,78.5,10.43,1324.4,0.5,Training,0.08439999999999999
274,0.093,0.64,20.86,78.5,9.7,1380.2,0.5,Training,0.088
275,0.068,0.64,20.86,78.5,9.84,1439.1,0.5,Training,0.06520000000000001
276,1.18,1.27,20.73,78.0,3.02,1173.0,1.0,Training,1.1658000000000002
277,0.997,1.27,20.73,78.0,2.94,1189.2,1.0,Training,0.9424
279,0.326,1.27,20.73,78.0,2.94,1288.8,1.0,Training,0.41419999999999946
281,0.124,1.27,20.73,78.0,3.04,1408.3,1.0,Training,0.142
283,1.18,1.27,20.73,78.0,9.91,1096.4,1.0,Training,1.18
285,0.38,1.27,20.73,78.0,9.86,1192.8,1.0,Training,0.3592000000000001
286,0.226,1.27,20.73,78.0,9.98,1248.9,1.0,Training,0.17720000000000002
288,0.099,1.27,20.73,78.0,10.2,1361.5,1.0,Training,0.09700000000000009
289,0.065,1.27,20.73,78.0,10.06,1423.7,1.0,Training,0.0592
290,1.47,2.5,20.48,77.02,2.96,1143.8,2.0,Training,2.5880000000000005
292,0.49,2.5,20.48,77.02,3.04,1257.0,2.0,Training,4.1522
293,0.299,2.5,20.48,77.02,2.96,1313.4,2.0,Training,4.1522
294,0.192,2.5,20.48,77.02,2.93,1365.5,2.0,Training,4.1826
295,0.13,2.5,20.48,77.02,2.88,1414.1,2.0,Training,4.1346
296,0.072,2.5,20.48,77.02,2.97,1494.4,2.0,Training,2.0556
297,1.34,2.5,20.48,77.02,9.89,1045.8,2.0,Training,2.9336
298,0.783,2.5,20.48,77.02,10.08,1103.4,2.0,Training,0.47240000000000015
299,0.405,2.5,20.48,77.02,10.07,1173.3,2.0,Training,0.31800000000000006
300,0.245,2.5,20.48,77.02,10.19,1224.4,2.0,Training,2.2378
302,0.12,2.5,20.48,77.02,10.44,1323.9,2.0,Training,2.1408
303,0.064,2.5,20.48,77.02,10.32,1419.0,2.0,Training,2.1308000000000007
304,1.5,0.64,20.86,78.5,10.01,1100.6,0.5,Training,1.0968
305,0.734,0.64,20.86,78.5,9.92,1146.0,0.5,Training,0.5696
306,0.436,0.64,20.86,78.5,9.84,1191.6,0.5,Training,0.4624000000000001
308,0.152,0.64,20.86,78.5,10.26,1314.7,0.5,Training,0.14520000000000002
310,0.062,0.64,20.86,78.5,10.49,1431.3,0.5,Training,0.055800000000001015
311,0.048,0.64,20.86,78.5,10.33,1473.0,0.5,Training,0.04480000000000102
312,1.296,1.27,20.73,78.0,9.91,1076.0,1.0,Training,1.1522000000000001
313,0.94,1.27,20.73,78.0,10.19,1109.3,1.0,Training,0.8859999999999998
316,0.174,1.27,20.73,78.0,9.52,1272.5,1.0,Training,0.15859999999999996
318,0.057,1.27,20.73,78.0,10.12,1407.4,1.0,Training,0.0656
319,9.7,2.5,20.48,77.02,9.7,1087.3,2.0,Training,9.700000000000001
320,9.57,2.5,20.48,77.02,9.57,1130.5,2.0,Training,4.091600000000001
321,9.99,2.5,20.48,77.02,9.99,1199.8,2.0,Training,4.1628
323,10.27,2.5,20.48,77.02,10.27,1335.4,2.0,Training,8.242
325,10.05,2.5,20.48,77.02,10.05,1453.3,2.0,Training,6.117400000000001
326,1.339,0.64,20.87,78.5,9.97,1098.5,0.65,Training,1.0528
327,0.959,0.64,20.87,78.5,10.5,1122.4,0.65,Training,0.9728
328,0.616,0.64,20.87,78.5,9.29,1163.0,0.65,Training,0.5406000000000001
329,0.304,0.64,20.87,78.5,9.8,1238.8,0.65,Training,0.2534
330,0.104,0.64,20.87,78.5,10.18,1360.7,0.65,Training,0.10300000000000001
331,0.064,0.64,20.87,78.5,9.68,1477.3,0.65,Training,0.05360000000000001
332,1.288,1.27,20.73,78.0,9.43,1074.3,1.25,Training,1.1142
333,0.548,1.27,20.73,78.0,10.01,1150.4,1.25,Training,0.41980000000000006
334,0.344,1.27,20.73,78.0,10.27,1213.6,1.25,Training,0.302
335,0.174,1.27,20.73,78.0,9.92,1295.5,1.25,Training,0.15040000000000003
336,0.089,1.27,20.73,78.0,10.08,1405.1,1.25,Training,0.08700000000000002
337,0.053,1.27,20.73,78.0,9.91,1493.3,1.25,Training,0.05499999999999999
338,1.215,2.5,20.48,77.03,10.18,1067.0,2.5,Training,1.3324000000000003
339,0.684,2.5,20.48,77.03,10.14,1105.7,2.5,Training,0.7254
340,0.266,2.5,20.48,77.03,10.12,1205.5,2.5,Training,0.266
341,0.119,2.5,20.48,77.03,10.12,1306.5,2.5,Training,0.09400000000000001
342,0.04,2.5,20.48,77.03,9.85,1470.2,2.5,Training,0.0456
343,1.592,0.64,20.87,78.5,9.71,1086.7,0.6,Training,1.3772000000000002
344,0.754,0.64,20.87,78.5,9.77,1138.8,0.6,Training,0.6288
345,0.504,0.64,20.87,78.5,9.55,1176.8,0.6,Training,0.4606
346,0.298,0.64,20.87,78.5,9.7,1233.2,0.6,Training,0.27780000000000005
347,0.104,0.64,20.87,78.5,9.69,1330.9,0.6,Training,0.10120000000000001
348,0.072,0.64,20.87,78.5,9.82,1388.7,0.6,Training,0.07840000000000001
349,0.053,0.64,20.87,78.5,9.74,1432.2,0.6,Training,0.063
350,1.572,1.27,20.73,78.0,10.41,1066.5,1.2,Training,1.3026
351,0.818,1.27,20.73,78.0,9.72,1112.2,1.2,Training,0.772
352,0.37,1.27,20.73,78.0,9.74,1187.0,1.2,Training,0.3478
353,0.134,1.27,20.73,78.0,9.8,1288.6,1.2,Training,0.136
354,0.055,1.27,20.73,78.0,9.82,1388.8,1.2,Training,0.07540000000000001
355,1.802,2.5,20.48,77.03,10.27,1060.5,2.4,Training,1.343
356,0.902,2.5,20.48,77.03,10.16,1106.8,2.4,Training,0.726
357,0.354,2.5,20.48,77.03,9.92,1195.9,2.4,Training,0.2942
359,0.124,2.5,20.48,77.03,10.56,1329.9,2.4,Training,0.09700000000000002
360,0.054,2.5,20.48,77.03,9.69,1449.5,2.4,Training,0.0512
361,7.565,0.346,20.94,78.72,21.1,892.0,0.25,Training,5.384199999999996
364,4.608,0.346,20.94,78.72,18.9,924.0,0.25,Training,3.126399999999995
365,2.722,0.346,20.94,78.72,19.1,953.0,0.25,Training,2.84168
366,2.19,0.346,20.94,78.72,21.5,979.0,0.25,Training,2.19
367,1.525,0.346,20.94,78.72,21.3,1016.0,0.25,Training,1.6356
368,1.067,0.346,20.94,78.72,18.7,1041.0,0.25,Training,1.0894000000000001
369,1.094,0.346,20.94,78.72,22.3,1055.0,0.25,Training,1.1935400000000003
370,0.823,0.346,20.94,78.72,21.1,1080.0,0.25,Training,0.8618000000000001
373,0.45,0.346,20.94,78.72,20.7,1133.0,0.25,Training,0.4082
374,0.272,0.346,20.94,78.72,20.9,1179.0,0.25,Training,0.18880000000000144
375,0.153,0.346,20.94,78.72,21.1,1230.0,0.25,Training,0.17580000000000004
376,0.101,0.346,20.94,78.72,20.4,1259.0,0.25,Training,0.1496
377,0.075,0.346,20.94,78.72,20.5,1305.0,0.25,Training,0.11906359999999988
379,3.035,0.689,20.86,78.45,20.8,743.0,0.5,Training,3.0442
380,3.594,0.689,20.86,78.45,19.6,785.0,0.5,Training,2.9422
381,2.941,0.689,20.86,78.45,21.4,830.0,0.5,Training,2.7737999999999827
382,3.358,0.689,20.86,78.45,21.6,854.0,0.5,Training,2.9889999999999826
383,3.202,0.689,20.86,78.45,18.3,879.0,0.5,Training,3.6426000000000003
384,2.347,0.689,20.86,78.45,21.0,930.0,0.5,Training,2.4293999999999834
385,2.165,0.689,20.86,78.45,20.1,950.0,0.5,Training,2.1242000000000005
386,1.239,0.689,20.86,78.45,18.5,995.0,0.5,Training,1.1774
387,1.163,0.689,20.86,78.45,19.8,1017.0,0.5,Training,0.9948000000000001
388,0.997,0.689,20.86,78.45,17.5,1031.0,0.5,Training,1.1616
389,0.863,0.689,20.86,78.45,20.1,1049.0,0.5,Training,0.807
390,0.813,0.689,20.86,78.45,19.0,1052.0,0.5,Training,0.9291999999999998
391,0.609,0.689,20.86,78.45,20.8,1083.0,0.5,Training,0.5506000000000001
392,0.37,0.689,20.86,78.45,20.2,1113.0,0.5,Training,0.32560000000000006
393,0.298,0.689,20.86,78.45,20.3,1125.0,0.5,Training,0.27419999999999994
394,0.196,0.689,20.86,78.45,21.0,1160.0,0.5,Training,0.211
395,0.18,0.689,20.86,78.45,19.0,1179.0,0.5,Training,0.1466
396,0.156,0.689,20.86,78.45,22.5,1182.0,0.5,Training,0.13520000000000001
398,0.107,0.689,20.86,78.45,20.5,1215.0,0.5,Training,0.1254
399,0.069,0.689,20.86,78.45,21.8,1263.0,0.5,Training,0.068
401,0.056,0.689,20.86,78.45,21.4,1304.0,0.5,Training,0.0586
402,9.648,1.368,20.72,77.91,8.0,848.0,1.0,Training,8.181600000000001
403,7.204,1.368,20.72,77.91,7.7,866.0,1.0,Training,7.6928
404,5.388,1.368,20.72,77.91,8.3,906.0,1.0,Training,5.260800000000001
405,5.07,1.368,20.72,77.91,8.8,907.0,1.0,Training,5.1972000000000005
406,3.564,1.368,20.72,77.91,8.4,949.0,1.0,Training,3.1328000000000005
407,2.486,1.368,20.72,77.91,8.4,968.0,1.0,Training,2.6322800000000006
408,2.545,1.368,20.72,77.91,8.3,983.0,1.0,Training,2.2614
409,1.921,1.368,20.72,77.91,8.4,1003.0,1.0,Training,1.8600000000000003
411,1.616,1.368,20.72,77.91,7.9,1022.0,1.0,Training,1.6524
413,0.617,1.368,20.72,77.91,8.0,1089.0,1.0,Training,0.9294000000000001
415,0.709,1.368,20.72,77.91,6.7,1099.0,1.0,Training,0.9952000000000001
416,0.371,1.368,20.72,77.91,6.1,1143.0,1.0,Training,0.4056
417,0.158,1.368,20.72,77.91,7.3,1233.0,1.0,Training,0.301
418,0.118,1.368,20.72,77.91,8.3,1270.0,1.0,Training,0.1344
419,0.07,1.368,20.72,77.91,8.3,1327.0,1.0,Training,0.0664
420,0.041,1.368,20.72,77.91,8.2,1381.0,1.0,Training,0.05720000000000001
421,5.617,1.368,20.72,77.91,12.7,744.0,1.0,Training,5.8536
422,5.43,1.368,20.72,77.91,11.3,754.0,1.0,Training,5.7414000000000005
423,6.762,1.368,20.72,77.91,10.7,792.0,1.0,Training,5.985600000000001
424,6.8,1.368,20.72,77.91,11.6,823.0,1.0,Training,6.351120000000001
425,4.261,1.368,20.72,77.91,10.1,866.0,1.0,Training,5.129180000000001
426,2.803,1.368,20.72,77.91,11.5,904.0,1.0,Training,4.3506
427,3.104,1.368,20.72,77.91,10.4,905.0,1.0,Training,4.69638
