Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
51,1.063,0.65,20.86,78.48,1.95,1185.7,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,1.0188700000000002
53,0.389,0.65,20.86,78.48,1.9,1266.4,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.44179000000000046
55,0.149,0.65,20.86,78.48,1.96,1386.9,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.15236199999999975
56,0.12,0.65,20.86,78.48,1.97,1432.7,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.11947999999999986
58,0.059,0.65,20.86,78.48,2.02,1513.3,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.06049000000000005
59,1.7,0.65,20.86,78.48,10.16,1076.9,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,1.4298070000000007
61,0.345,0.65,20.86,78.48,9.57,1172.9,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.37078360999999965
62,0.193,0.65,20.86,78.48,10.48,1236.1,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.19438079999999994
64,0.096,0.65,20.86,78.48,9.82,1289.3,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.12365200000000005
66,0.04,0.65,20.86,78.48,10.56,1363.2,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.07338830000000003
69,1.335,1.3,20.73,77.98,2.06,1115.5,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,1.291019999999999
72,0.661,1.3,20.73,77.98,2.02,1206.8,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.6905800000000005
73,0.584,1.3,20.73,77.98,1.91,1273.7,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.5259800000000008
75,0.297,1.3,20.73,77.98,2.05,1368.0,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.2394200000000002
77,0.142,1.3,20.73,77.98,1.92,1471.3,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.12974999999999987
79,0.056,1.3,20.73,77.98,2.0,1600.7,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.054549614000000066
80,0.035,1.3,20.73,77.98,1.96,1683.8,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.05586922800000136
81,1.493,1.3,20.73,77.98,10.69,1028.1,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,1.4493139999999989
84,0.399,1.3,20.73,77.98,10.89,1114.9,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.4797020000000005
