Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
64,0.096,0.65,20.86,78.48,9.82,1289.3,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.10200000000000001
66,0.04,0.65,20.86,78.48,10.56,1363.2,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.07359999999999998
69,1.335,1.3,20.73,77.98,2.06,1115.5,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,1.3758
72,0.661,1.3,20.73,77.98,2.02,1206.8,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.7612000000000001
73,0.584,1.3,20.73,77.98,1.91,1273.7,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.5142000000000001
75,0.297,1.3,20.73,77.98,2.05,1368.0,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.19240000000000002
77,0.142,1.3,20.73,77.98,1.92,1471.3,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.14339999999999997
78,0.071,1.3,20.73,77.98,2.04,1519.8,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.063
79,0.056,1.3,20.73,77.98,2.0,1600.7,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.050599999999999805
80,0.035,1.3,20.73,77.98,1.96,1683.8,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.045800000000000035
81,1.493,1.3,20.73,77.98,10.69,1028.1,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,1.4170000000000003
84,0.399,1.3,20.73,77.98,10.89,1114.9,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.5004
87,0.174,1.3,20.73,77.98,10.05,1224.6,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.1884
90,0.063,1.3,20.73,77.98,10.8,1306.3,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.0654000000000002
91,0.042,1.3,20.73,77.98,10.78,1343.2,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.060800000000000014
92,0.945,2.56,20.46,76.98,2.07,1169.5,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,1.0148
96,0.434,2.56,20.46,76.98,2.0,1300.2,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.4640000000000001
98,0.175,2.56,20.46,76.98,2.0,1402.6,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.2202
99,0.142,2.56,20.46,76.98,2.08,1487.5,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.1219999999999991
100,0.092,2.56,20.46,76.98,1.98,1544.4,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.09539999999999911
101,1.875,2.56,20.46,76.98,9.68,1020.8,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,1.6849999999999998
103,0.338,2.56,20.46,76.98,9.38,1136.9,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,2.315
104,0.151,2.56,20.46,76.98,10.38,1218.1,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.1866000000000001
105,0.085,2.56,20.46,76.98,9.63,1279.5,4.11973,37.34012,49.87414,0.72511,0.45811,22.0,Training,0.08499999999999999
107,1.472,0.64,20.87,78.5,1.92,1131.9,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.5175999999999998
108,0.806,0.64,20.87,78.5,2.09,1179.2,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.9004000000000005
109,0.368,0.64,20.87,78.5,2.1,1229.6,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.43799999999999994
110,0.271,0.64,20.87,78.5,2.02,1294.0,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.32180000000000003
112,0.08,0.64,20.87,78.5,2.02,1408.6,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.0918
