Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,n-i-alkanes,cyclic-alkanes,Aromatics,Formula_H,Set,IDT_ms_pred
81,1.493,1.3,20.73,77.98,10.69,1028.1,11.60252,87.21426,0.72511,22.0,Training,1.3787338016994732
84,0.399,1.3,20.73,77.98,10.89,1114.9,11.60252,87.21426,0.72511,22.0,Training,0.5831823407119111
86,0.242,1.3,20.73,77.98,9.56,1177.6,11.60252,87.21426,0.72511,22.0,Training,0.3909079673102087
89,0.104,1.3,20.73,77.98,10.95,1270.0,11.60252,87.21426,0.72511,22.0,Training,0.16904310173157033
90,0.063,1.3,20.73,77.98,10.8,1306.3,11.60252,87.21426,0.72511,22.0,Training,0.1477603733110672
92,0.945,2.56,20.46,76.98,2.07,1169.5,11.60252,87.21426,0.72511,22.0,Training,0.8880036376087046
96,0.434,2.56,20.46,76.98,2.0,1300.2,11.60252,87.21426,0.72511,22.0,Training,0.5046887489589985
97,0.281,2.56,20.46,76.98,1.99,1347.0,11.60252,87.21426,0.72511,22.0,Training,0.4181351432499527
98,0.175,2.56,20.46,76.98,2.0,1402.6,11.60252,87.21426,0.72511,22.0,Training,0.40161449589421905
99,0.142,2.56,20.46,76.98,2.08,1487.5,11.60252,87.21426,0.72511,22.0,Training,0.32000787469528313
100,0.092,2.56,20.46,76.98,1.98,1544.4,11.60252,87.21426,0.72511,22.0,Training,0.31569497800029866
101,1.875,2.56,20.46,76.98,9.68,1020.8,11.60252,87.21426,0.72511,22.0,Training,1.711058723809807
102,0.731,2.56,20.46,76.98,10.65,1075.0,11.60252,87.21426,0.72511,22.0,Training,0.7982398326267128
103,0.338,2.56,20.46,76.98,9.38,1136.9,11.60252,87.21426,0.72511,22.0,Training,0.8267229041176725
104,0.151,2.56,20.46,76.98,10.38,1218.1,11.60252,87.21426,0.72511,22.0,Training,0.5637722655907494
105,0.085,2.56,20.46,76.98,9.63,1279.5,11.60252,87.21426,0.72511,22.0,Training,0.6131777602551332
107,1.472,0.64,20.87,78.5,1.92,1131.9,32.882455,56.48979,8.091765,21.035,Training,1.1195812064447994
108,0.806,0.64,20.87,78.5,2.09,1179.2,32.882455,56.48979,8.091765,21.035,Training,0.7227904132451725
109,0.368,0.64,20.87,78.5,2.1,1229.6,32.882455,56.48979,8.091765,21.035,Training,0.4647172245750786
110,0.271,0.64,20.87,78.5,2.02,1294.0,32.882455,56.48979,8.091765,21.035,Training,0.3453397818691409
112,0.08,0.64,20.87,78.5,2.02,1408.6,32.882455,56.48979,8.091765,21.035,Training,0.18213862498584746
113,0.034,0.64,20.87,78.5,2.02,1511.2,32.882455,56.48979,8.091765,21.035,Training,0.15291963847295162
114,1.82,0.64,20.87,78.5,9.42,1025.2,32.882455,56.48979,8.091765,21.035,Training,1.5844246647204827
116,0.444,0.64,20.87,78.5,10.23,1134.9,32.882455,56.48979,8.091765,21.035,Training,0.7129290180564664
119,0.166,0.64,20.87,78.5,9.99,1266.7,32.882455,56.48979,8.091765,21.035,Training,0.22305316124938035
121,0.032,0.64,20.87,78.5,10.14,1357.7,32.882455,56.48979,8.091765,21.035,Training,0.14344143461642073
122,1.322,1.27,20.73,78.0,2.07,1123.1,32.882455,56.48979,8.091765,21.035,Training,1.019184069985948
126,0.533,1.27,20.73,78.0,2.09,1251.9,32.882455,56.48979,8.091765,21.035,Training,0.44579313579475777
127,0.235,1.27,20.73,78.0,2.02,1308.3,32.882455,56.48979,8.091765,21.035,Training,0.291111613970503
128,0.15,1.27,20.73,78.0,2.02,1409.2,32.882455,56.48979,8.091765,21.035,Training,0.19144396956023343
130,0.052,1.27,20.73,78.0,2.06,1532.2,32.882455,56.48979,8.091765,21.035,Training,0.1622249830473376
131,0.035,1.27,20.73,78.0,2.09,1591.1,32.882455,56.48979,8.091765,21.035,Training,0.15710287223573785
133,1.02,1.27,20.73,78.0,9.57,1087.7,32.882455,56.48979,8.091765,21.035,Training,0.9574005524779466
135,0.342,1.27,20.73,78.0,9.25,1161.7,32.882455,56.48979,8.091765,21.035,Training,0.46842926573894883
137,0.122,1.27,20.73,78.0,10.14,1307.7,32.882455,56.48979,8.091765,21.035,Training,0.1653997796001484
138,0.046,1.27,20.73,78.0,9.55,1371.7,32.882455,56.48979,8.091765,21.035,Training,0.1150003779655277
139,0.012,1.27,20.73,78.0,10.63,1470.8,32.882455,56.48979,8.091765,21.035,Training,0.08128963150718177
142,0.665,2.5,20.48,77.03,1.97,1223.5,32.882455,56.48979,8.091765,21.035,Training,0.5156104513924379
143,0.393,2.5,20.48,77.03,2.1,1271.9,32.882455,56.48979,8.091765,21.035,Training,0.40590188672226407
147,0.068,2.5,20.48,77.03,1.93,1576.1,32.882455,56.48979,8.091765,21.035,Training,0.14308858628070625
148,1.36,2.5,20.48,77.03,10.23,1038.5,32.882455,56.48979,8.091765,21.035,Training,1.3272961176558662
150,0.484,2.5,20.48,77.03,10.57,1092.2,32.882455,56.48979,8.091765,21.035,Training,0.7312566353572147
152,0.246,2.5,20.48,77.03,10.22,1170.7,32.882455,56.48979,8.091765,21.035,Training,0.5091780067128931
153,0.197,2.5,20.48,77.03,10.12,1221.6,32.882455,56.48979,8.091765,21.035,Training,0.394604654160031
154,0.137,2.5,20.48,77.03,9.45,1270.7,32.882455,56.48979,8.091765,21.035,Training,0.20708830623738458
155,0.076,2.5,20.48,77.03,9.48,1320.8,32.882455,56.48979,8.091765,21.035,Training,0.1621099916083307
156,0.046,2.5,20.48,77.03,10.2,1373.5,32.882455,56.48979,8.091765,21.035,Training,0.2653748532482072
159,0.624,0.64,20.87,78.5,9.81,1147.1,22.00894,69.88772,3.61921,20.649,Training,0.6796722736511078
163,0.206,0.64,20.87,78.5,9.57,1274.8,22.00894,69.88772,3.61921,20.649,Training,0.22305316124938035
164,0.118,0.64,20.87,78.5,9.94,1346.6,22.00894,69.88772,3.61921,20.649,Training,0.16777254386620533
166,0.036,0.64,20.87,78.5,10.3,1521.3,22.00894,69.88772,3.61921,20.649,Training,0.12381282772266666
168,0.93,1.27,20.73,78.0,9.72,1086.8,22.00894,69.88772,3.61921,20.649,Training,0.9411043961440932
170,0.408,1.27,20.73,78.0,10.31,1164.4,22.00894,69.88772,3.61921,20.649,Training,0.4234362252233713
172,0.116,1.27,20.73,78.0,10.24,1313.9,22.00894,69.88772,3.61921,20.649,Training,0.1653997796001484
173,0.086,1.27,20.73,78.0,9.49,1367.3,22.00894,69.88772,3.61921,20.649,Training,0.12208265280335356
176,0.948,2.5,20.48,77.03,10.34,1063.3,22.00894,69.88772,3.61921,20.649,Training,1.041480988730246
177,0.446,2.5,20.48,77.03,10.77,1132.2,22.00894,69.88772,3.61921,20.649,Training,0.5846491499318189
178,0.276,2.5,20.48,77.03,9.73,1186.5,22.00894,69.88772,3.61921,20.649,Training,0.4230913876235428
179,0.148,2.5,20.48,77.03,9.73,1285.1,22.00894,69.88772,3.61921,20.649,Training,0.1936239879608422
180,0.07,2.5,20.48,77.03,9.82,1388.9,22.00894,69.88772,3.61921,20.649,Training,0.11159991727853259
182,0.04,2.5,20.48,77.03,10.56,1486.1,22.00894,69.88772,3.61921,20.649,Training,0.21848370074556342
184,1.027,0.64,20.87,78.5,10.24,1111.0,36.82759,52.37689,4.31528,21.421,Training,0.8044658072607577
185,0.5,0.64,20.87,78.5,10.25,1161.9,36.82759,52.37689,4.31528,21.421,Training,0.4653336899932361
186,0.352,0.64,20.87,78.5,9.43,1227.4,36.82759,52.37689,4.31528,21.421,Training,0.3074955231800069
189,0.152,0.64,20.87,78.5,10.5,1328.8,36.82759,52.37689,4.31528,21.421,Training,0.1822755706944265
190,0.098,0.64,20.87,78.5,10.09,1405.7,36.82759,52.37689,4.31528,21.421,Training,0.1396097160727165
191,0.069,0.64,20.87,78.5,9.59,1470.2,36.82759,52.37689,4.31528,21.421,Training,0.13051857096697767
194,0.835,1.27,20.73,78.0,9.84,1091.0,36.82759,52.37689,4.31528,21.421,Training,0.9337408066244606
195,0.464,1.27,20.73,78.0,10.12,1155.7,36.82759,52.37689,4.31528,21.421,Training,0.4981611495878302
196,0.323,1.27,20.73,78.0,10.14,1207.1,36.82759,52.37689,4.31528,21.421,Training,0.275705000491051
197,0.222,1.27,20.73,78.0,10.02,1251.1,36.82759,52.37689,4.31528,21.421,Training,0.24181687796629844
198,0.16,1.27,20.73,78.0,10.03,1301.8,36.82759,52.37689,4.31528,21.421,Training,0.17739057080768794
199,0.108,1.27,20.73,78.0,9.97,1357.9,36.82759,52.37689,4.31528,21.421,Training,0.11883209650923193
201,0.044,1.27,20.73,78.0,10.24,1517.0,36.82759,52.37689,4.31528,21.421,Training,0.09502128798603438
203,0.491,2.5,20.48,77.03,10.35,1114.9,36.82759,52.37689,4.31528,21.421,Training,0.6306984321464837
205,0.321,2.5,20.48,77.03,10.34,1165.2,36.82759,52.37689,4.31528,21.421,Training,0.5025278498089037
206,0.184,2.5,20.48,77.03,10.06,1253.3,36.82759,52.37689,4.31528,21.421,Training,0.38932639930133905
207,0.107,2.5,20.48,77.03,9.8,1348.3,36.82759,52.37689,4.31528,21.421,Training,0.13537424461629854
208,0.065,2.5,20.48,77.03,10.54,1443.5,36.82759,52.37689,4.31528,21.421,Training,0.22119769547936094
209,0.05,2.5,20.48,77.03,9.91,1493.8,36.82759,52.37689,4.31528,21.421,Training,0.03923319261299966
211,1.278,0.61,20.87,78.52,2.84,1171.5,54.16239,25.76532,15.45842,20.07,Training,0.8316212553142743
213,0.628,0.61,20.87,78.52,3.22,1237.6,54.16239,25.76532,15.45842,20.07,Training,0.5318663740902536
214,0.372,0.61,20.87,78.52,3.02,1304.5,54.16239,25.76532,15.45842,20.07,Training,0.37949889101401113
216,0.158,0.61,20.87,78.52,3.05,1411.6,54.16239,25.76532,15.45842,20.07,Training,0.25314181602029256
218,0.073,0.61,20.87,78.52,3.06,1513.3,54.16239,25.76532,15.45842,20.07,Training,0.22607108866860193
221,0.176,0.61,20.87,78.52,10.01,1300.3,54.16239,25.76532,15.45842,20.07,Training,0.2853395867343582
222,1.496,0.61,20.87,78.52,9.73,1087.5,54.16239,25.76532,15.45842,20.07,Training,1.2206383992594054
224,0.09,0.61,20.87,78.52,9.89,1392.7,54.16239,25.76532,15.45842,20.07,Training,0.20874131517814512
226,0.704,0.61,20.87,78.52,9.3,1144.2,54.16239,25.76532,15.45842,20.07,Training,0.7854747714936071
230,0.106,1.25,20.74,78.01,3.32,1466.8,54.16239,25.76532,15.45842,20.07,Training,0.23631974079195092
231,0.24,1.25,20.74,78.01,2.73,1342.5,54.16239,25.76532,15.45842,20.07,Training,0.3428003055986069
234,0.396,1.25,20.74,78.01,2.97,1293.7,54.16239,25.76532,15.45842,20.07,Training,0.4397578171493756
236,0.724,1.25,20.74,78.01,3.13,1221.3,54.16239,25.76532,15.45842,20.07,Training,0.5796729435432137
