Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,n-i-alkanes,cyclic-alkanes,Aromatics,Formula_H,Set,IDT_ms_pred
57,0.058,0.65,20.86,78.48,1.99,1498.1,11.60252,87.21426,0.72511,22.0,Training,0.05340000000000002
60,0.799,0.65,20.86,78.48,10.2,1110.7,11.60252,87.21426,0.72511,22.0,Training,0.7579999999999999
61,0.345,0.65,20.86,78.48,9.57,1172.9,11.60252,87.21426,0.72511,22.0,Training,0.38514999999999994
63,0.156,0.65,20.86,78.48,10.67,1251.4,11.60252,87.21426,0.72511,22.0,Training,0.17915000000000003
64,0.096,0.65,20.86,78.48,9.82,1289.3,11.60252,87.21426,0.72511,22.0,Training,0.12775
66,0.04,0.65,20.86,78.48,10.56,1363.2,11.60252,87.21426,0.72511,22.0,Training,0.070635
68,2.042,1.3,20.73,77.98,1.98,1085.9,11.60252,87.21426,0.72511,22.0,Training,1.7140500000000003
70,1.188,1.3,20.73,77.98,2.09,1128.0,11.60252,87.21426,0.72511,22.0,Training,1.2443499999999998
72,0.661,1.3,20.73,77.98,2.02,1206.8,11.60252,87.21426,0.72511,22.0,Training,0.64295
74,0.467,1.3,20.73,77.98,1.93,1282.0,11.60252,87.21426,0.72511,22.0,Training,0.41839999999999994
75,0.297,1.3,20.73,77.98,2.05,1368.0,11.60252,87.21426,0.72511,22.0,Training,0.2269
76,0.186,1.3,20.73,77.98,2.01,1414.8,11.60252,87.21426,0.72511,22.0,Training,0.1724
77,0.142,1.3,20.73,77.98,1.92,1471.3,11.60252,87.21426,0.72511,22.0,Training,0.12245
79,0.056,1.3,20.73,77.98,2.0,1600.7,11.60252,87.21426,0.72511,22.0,Training,0.05800000000000003
80,0.035,1.3,20.73,77.98,1.96,1683.8,11.60252,87.21426,0.72511,22.0,Training,0.053198069999993325
81,1.493,1.3,20.73,77.98,10.69,1028.1,11.60252,87.21426,0.72511,22.0,Training,1.4506
84,0.399,1.3,20.73,77.98,10.89,1114.9,11.60252,87.21426,0.72511,22.0,Training,0.5074000000000002
86,0.242,1.3,20.73,77.98,9.56,1177.6,11.60252,87.21426,0.72511,22.0,Training,0.28955
88,0.146,1.3,20.73,77.98,9.59,1247.2,11.60252,87.21426,0.72511,22.0,Training,0.19329999999999997
90,0.063,1.3,20.73,77.98,10.8,1306.3,11.60252,87.21426,0.72511,22.0,Training,0.08844999999999997
92,0.945,2.56,20.46,76.98,2.07,1169.5,11.60252,87.21426,0.72511,22.0,Training,1.29805
96,0.434,2.56,20.46,76.98,2.0,1300.2,11.60252,87.21426,0.72511,22.0,Training,0.4758499999999999
97,0.281,2.56,20.46,76.98,1.99,1347.0,11.60252,87.21426,0.72511,22.0,Training,0.2928
98,0.175,2.56,20.46,76.98,2.0,1402.6,11.60252,87.21426,0.72511,22.0,Training,0.19365
99,0.142,2.56,20.46,76.98,2.08,1487.5,11.60252,87.21426,0.72511,22.0,Training,0.17095000000000007
100,0.092,2.56,20.46,76.98,1.98,1544.4,11.60252,87.21426,0.72511,22.0,Training,0.13469999999999965
101,1.875,2.56,20.46,76.98,9.68,1020.8,11.60252,87.21426,0.72511,22.0,Training,1.711
102,0.731,2.56,20.46,76.98,10.65,1075.0,11.60252,87.21426,0.72511,22.0,Training,0.8472999999999999
103,0.338,2.56,20.46,76.98,9.38,1136.9,11.60252,87.21426,0.72511,22.0,Training,1.0057500000000004
104,0.151,2.56,20.46,76.98,10.38,1218.1,11.60252,87.21426,0.72511,22.0,Training,0.22849999999999993
105,0.085,2.56,20.46,76.98,9.63,1279.5,11.60252,87.21426,0.72511,22.0,Training,0.21265
107,1.472,0.64,20.87,78.5,1.92,1131.9,32.882455,56.48979,8.091765,21.035,Training,1.40815
109,0.368,0.64,20.87,78.5,2.1,1229.6,32.882455,56.48979,8.091765,21.035,Training,0.47345000000000015
110,0.271,0.64,20.87,78.5,2.02,1294.0,32.882455,56.48979,8.091765,21.035,Training,0.33735000000000004
111,0.198,0.64,20.87,78.5,2.09,1336.4,32.882455,56.48979,8.091765,21.035,Training,0.2180000000000001
112,0.08,0.64,20.87,78.5,2.02,1408.6,32.882455,56.48979,8.091765,21.035,Training,0.11035000000000002
113,0.034,0.64,20.87,78.5,2.02,1511.2,32.882455,56.48979,8.091765,21.035,Training,0.047500000000000014
114,1.82,0.64,20.87,78.5,9.42,1025.2,32.882455,56.48979,8.091765,21.035,Training,1.7817749999999997
115,0.77,0.64,20.87,78.5,10.44,1099.3,32.882455,56.48979,8.091765,21.035,Training,0.92631
117,0.361,0.64,20.87,78.5,9.78,1174.0,32.882455,56.48979,8.091765,21.035,Training,0.37549999999999994
119,0.166,0.64,20.87,78.5,9.99,1266.7,32.882455,56.48979,8.091765,21.035,Training,0.19069999999999998
120,0.07,0.64,20.87,78.5,10.17,1310.0,32.882455,56.48979,8.091765,21.035,Training,0.12649999999999997
121,0.032,0.64,20.87,78.5,10.14,1357.7,32.882455,56.48979,8.091765,21.035,Training,0.04845000000000003
122,1.322,1.27,20.73,78.0,2.07,1123.1,32.882455,56.48979,8.091765,21.035,Training,1.3100499999999997
126,0.533,1.27,20.73,78.0,2.09,1251.9,32.882455,56.48979,8.091765,21.035,Training,0.529
127,0.235,1.27,20.73,78.0,2.02,1308.3,32.882455,56.48979,8.091765,21.035,Training,0.29530000000000006
128,0.15,1.27,20.73,78.0,2.02,1409.2,32.882455,56.48979,8.091765,21.035,Training,0.13655
129,0.095,1.27,20.73,78.0,1.9,1456.7,32.882455,56.48979,8.091765,21.035,Training,0.1028
130,0.052,1.27,20.73,78.0,2.06,1532.2,32.882455,56.48979,8.091765,21.035,Training,0.045850000000000016
131,0.035,1.27,20.73,78.0,2.09,1591.1,32.882455,56.48979,8.091765,21.035,Training,0.04170000000000003
133,1.02,1.27,20.73,78.0,9.57,1087.7,32.882455,56.48979,8.091765,21.035,Training,1.44405
134,0.401,1.27,20.73,78.0,10.21,1129.8,32.882455,56.48979,8.091765,21.035,Training,0.5791999999999999
135,0.342,1.27,20.73,78.0,9.25,1161.7,32.882455,56.48979,8.091765,21.035,Training,0.35214999999999996
