Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,Formula_H,Set,IDT_ms_pred
127,0.235,1.27,20.73,78.0,2.02,1308.3,21.035,Training,0.26916666666666667
128,0.15,1.27,20.73,78.0,2.02,1409.2,21.035,Training,0.1368000000000001
129,0.095,1.27,20.73,78.0,1.9,1456.7,21.035,Training,0.14380000000000007
130,0.052,1.27,20.73,78.0,2.06,1532.2,21.035,Training,0.05190000000000003
131,0.035,1.27,20.73,78.0,2.09,1591.1,21.035,Training,0.0489227499999996
134,0.401,1.27,20.73,78.0,10.21,1129.8,21.035,Training,0.9694716666666676
135,0.342,1.27,20.73,78.0,9.25,1161.7,21.035,Training,0.39037499999999997
138,0.046,1.27,20.73,78.0,9.55,1371.7,21.035,Training,0.05671666666666665
139,0.012,1.27,20.73,78.0,10.63,1470.8,21.035,Training,0.029516666666666677
141,0.687,2.5,20.48,77.03,1.92,1180.5,21.035,Training,0.6848333333333331
142,0.665,2.5,20.48,77.03,1.97,1223.5,21.035,Training,0.5655999999999999
143,0.393,2.5,20.48,77.03,2.1,1271.9,21.035,Training,0.37615000000000004
146,0.08,2.5,20.48,77.03,2.07,1526.9,21.035,Training,0.07528333333333334
147,0.068,2.5,20.48,77.03,1.93,1576.1,21.035,Training,0.06778333333333296
150,0.484,2.5,20.48,77.03,10.57,1092.2,21.035,Training,0.8170833333333376
152,0.246,2.5,20.48,77.03,10.22,1170.7,21.035,Training,0.5270666666666667
153,0.197,2.5,20.48,77.03,10.12,1221.6,21.035,Training,0.24029833333333311
155,0.076,2.5,20.48,77.03,9.48,1320.8,21.035,Training,0.11424999999999998
158,0.692,0.64,20.87,78.5,10.84,1137.6,20.649,Training,0.6801166666666667
162,0.272,0.64,20.87,78.5,10.01,1230.4,20.649,Training,0.2694983333333334
163,0.206,0.64,20.87,78.5,9.57,1274.8,20.649,Training,0.2173966666666666
166,0.036,0.64,20.87,78.5,10.3,1521.3,20.649,Training,0.04231602333333692
167,1.296,1.27,20.73,78.0,10.27,1060.9,20.649,Training,1.2922300000000007
168,0.93,1.27,20.73,78.0,9.72,1086.8,20.649,Training,0.9471899999999996
170,0.408,1.27,20.73,78.0,10.31,1164.4,20.649,Training,0.37770833333333337
172,0.116,1.27,20.73,78.0,10.24,1313.9,20.649,Training,0.11136666666666659
176,0.948,2.5,20.48,77.03,10.34,1063.3,20.649,Training,1.2129166666666673
177,0.446,2.5,20.48,77.03,10.77,1132.2,20.649,Training,1.2038833333333367
179,0.148,2.5,20.48,77.03,9.73,1285.1,20.649,Training,0.1827833333333335
180,0.07,2.5,20.48,77.03,9.82,1388.9,20.649,Training,0.23998333333333338
181,0.052,2.5,20.48,77.03,10.61,1437.0,20.649,Training,0.241233333333336
182,0.04,2.5,20.48,77.03,10.56,1486.1,20.649,Training,0.06237233333333855
186,0.352,0.64,20.87,78.5,9.43,1227.4,21.421,Training,0.30729833333333345
190,0.098,0.64,20.87,78.5,10.09,1405.7,21.421,Training,0.08193666666666663
199,0.108,1.27,20.73,78.0,9.97,1357.9,21.421,Training,0.09561666666666663
201,0.044,1.27,20.73,78.0,10.24,1517.0,21.421,Training,0.04854959333333334
202,0.705,2.5,20.48,77.03,10.05,1082.1,21.421,Training,1.316349999999999
210,1.462,0.61,20.87,78.52,2.77,1155.0,20.07,Training,1.3727666666666671
212,0.848,0.61,20.87,78.52,3.01,1202.1,20.07,Training,0.8351666666666662
219,0.244,0.61,20.87,78.52,11.2,1261.3,20.07,Training,0.23633833333333323
221,0.176,0.61,20.87,78.52,10.01,1300.3,20.07,Training,0.17152666666666674
222,1.496,0.61,20.87,78.52,9.73,1087.5,20.07,Training,1.2795516666666666
225,0.062,0.61,20.87,78.52,9.98,1448.9,20.07,Training,0.06580999999999998
226,0.704,0.61,20.87,78.52,9.3,1144.2,20.07,Training,0.7108666666666668
229,0.28,1.25,20.74,78.01,3.17,1331.5,20.07,Training,0.27061666666666656
232,0.084,1.25,20.74,78.01,3.0,1499.3,20.07,Training,0.08358333333333333
234,0.396,1.25,20.74,78.01,2.97,1293.7,20.07,Training,0.37560000000000027
236,0.724,1.25,20.74,78.01,3.13,1221.3,20.07,Training,0.6945116666666664
237,1.464,1.25,20.74,78.01,3.1,1156.0,20.07,Training,1.2914333333333328
243,0.058,1.25,20.74,78.01,10.26,1416.4,20.07,Training,0.06172499999999997
245,0.217,1.25,20.74,78.01,9.91,1245.2,20.07,Training,0.20467333333333337
247,0.514,2.47,20.48,77.05,3.3,1248.5,20.07,Training,0.5480916666666664
252,0.08,2.47,20.48,77.05,3.11,1474.3,20.07,Training,0.10910900000000008
256,0.482,2.47,20.48,77.05,10.97,1115.8,20.07,Training,0.5071233333333331
257,1.021,2.47,20.48,77.05,10.34,1063.5,20.07,Training,1.0929300000000002
259,0.056,2.47,20.48,77.05,10.22,1392.9,20.07,Training,0.07327833333333335
262,1.519,0.64,20.86,78.5,2.95,1141.1,24.82,Training,1.3766833333333335
263,0.849,0.64,20.86,78.5,3.03,1205.1,24.82,Training,0.7640666666666661
264,0.51,0.64,20.86,78.5,3.05,1259.3,24.82,Training,0.5253000000000002
265,0.259,0.64,20.86,78.5,2.98,1320.9,24.82,Training,0.2660166666666668
266,0.138,0.64,20.86,78.5,3.04,1409.0,24.82,Training,0.15623333333333328
267,0.071,0.64,20.86,78.5,2.9,1475.0,24.82,Training,0.09054935666666664
268,1.54,0.64,20.86,78.5,10.03,1081.3,24.82,Training,1.3538232666666672
269,0.985,0.64,20.86,78.5,9.57,1128.9,24.82,Training,1.0620999999999998
271,0.27,0.64,20.86,78.5,10.35,1248.8,24.82,Training,0.2515233333333332
273,0.145,0.64,20.86,78.5,10.43,1324.4,24.82,Training,0.1286166666666666
274,0.093,0.64,20.86,78.5,9.7,1380.2,24.82,Training,0.08830666666666664
275,0.068,0.64,20.86,78.5,9.84,1439.1,24.82,Training,0.06602768999999999
277,0.997,1.27,20.73,78.0,2.94,1189.2,24.82,Training,0.8049333333333332
279,0.326,1.27,20.73,78.0,2.94,1288.8,24.82,Training,0.3474000000000002
281,0.124,1.27,20.73,78.0,3.04,1408.3,24.82,Training,0.12415000000000029
282,0.06,1.27,20.73,78.0,3.0,1499.8,24.82,Training,0.06882500000000033
283,1.18,1.27,20.73,78.0,9.91,1096.4,24.82,Training,1.0178299999999998
284,0.57,1.27,20.73,78.0,9.93,1146.8,24.82,Training,0.5640416666666668
285,0.38,1.27,20.73,78.0,9.86,1192.8,24.82,Training,0.3756933333333334
286,0.226,1.27,20.73,78.0,9.98,1248.9,24.82,Training,0.22928333333333348
287,0.17,1.27,20.73,78.0,9.99,1299.2,24.82,Training,0.16713333333333336
288,0.099,1.27,20.73,78.0,10.2,1361.5,24.82,Training,0.09365666666666671
289,0.065,1.27,20.73,78.0,10.06,1423.7,24.82,Training,0.06340333333333377
290,1.47,2.5,20.48,77.02,2.96,1143.8,24.82,Training,1.4101249999999999
291,0.974,2.5,20.48,77.02,2.91,1186.2,24.82,Training,0.7715666666666662
292,0.49,2.5,20.48,77.02,3.04,1257.0,24.82,Training,0.6068999999999998
293,0.299,2.5,20.48,77.02,2.96,1313.4,24.82,Training,0.32342499999999996
