Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,Formula_H,Set,IDT_ms_pred
126,0.533,1.27,20.73,78.0,2.09,1251.9,21.035,Training,0.31098062388487785
127,0.235,1.27,20.73,78.0,2.02,1308.3,21.035,Training,0.18289898997578638
128,0.15,1.27,20.73,78.0,2.02,1409.2,21.035,Training,0.14478146189487706
129,0.095,1.27,20.73,78.0,1.9,1456.7,21.035,Training,0.14478146189487706
130,0.052,1.27,20.73,78.0,2.06,1532.2,21.035,Training,0.14478146189487706
131,0.035,1.27,20.73,78.0,2.09,1591.1,21.035,Training,0.14478146189487706
134,0.401,1.27,20.73,78.0,10.21,1129.8,21.035,Training,0.553024838832275
135,0.342,1.27,20.73,78.0,9.25,1161.7,21.035,Training,0.4026188068164649
136,0.249,1.27,20.73,78.0,9.47,1202.1,21.035,Training,0.3694081987222335
138,0.046,1.27,20.73,78.0,9.55,1371.7,21.035,Training,0.10701666189487646
139,0.012,1.27,20.73,78.0,10.63,1470.8,21.035,Training,0.10701666189487646
142,0.665,2.5,20.48,77.03,1.97,1223.5,21.035,Training,0.4621539078773449
143,0.393,2.5,20.48,77.03,2.1,1271.9,21.035,Training,0.31098062388487785
147,0.068,2.5,20.48,77.03,1.93,1576.1,21.035,Training,0.14478146189487706
150,0.484,2.5,20.48,77.03,10.57,1092.2,21.035,Training,0.5985101236824935
153,0.197,2.5,20.48,77.03,10.12,1221.6,21.035,Training,0.2469140534460751
158,0.692,0.64,20.87,78.5,10.84,1137.6,20.649,Training,0.45019367742667654
160,0.524,0.64,20.87,78.5,9.26,1167.6,20.649,Training,0.4026188068164649
163,0.206,0.64,20.87,78.5,9.57,1274.8,20.649,Training,0.20341848752124092
164,0.118,0.64,20.87,78.5,9.94,1346.6,20.649,Training,0.14513418997578573
166,0.036,0.64,20.87,78.5,10.3,1521.3,20.649,Training,0.10701666189487646
167,1.296,1.27,20.73,78.0,10.27,1060.9,20.649,Training,1.2643034278590353
168,0.93,1.27,20.73,78.0,9.72,1086.8,20.649,Training,0.928399666892693
172,0.116,1.27,20.73,78.0,10.24,1313.9,20.649,Training,0.14513418997578573
176,0.948,2.5,20.48,77.03,10.34,1063.3,20.649,Training,1.388470821275687
177,0.446,2.5,20.48,77.03,10.77,1132.2,20.649,Training,0.5827616168643116
178,0.276,2.5,20.48,77.03,9.73,1186.5,20.649,Training,0.3694081987222335
179,0.148,2.5,20.48,77.03,9.73,1285.1,20.649,Training,0.16821378161214945
180,0.07,2.5,20.48,77.03,9.82,1388.9,20.649,Training,0.10701666189487646
181,0.052,2.5,20.48,77.03,10.61,1437.0,20.649,Training,0.10701666189487646
182,0.04,2.5,20.48,77.03,10.56,1486.1,20.649,Training,0.10701666189487646
186,0.352,0.64,20.87,78.5,9.43,1227.4,21.421,Training,0.2469140534460751
188,0.166,0.64,20.87,78.5,10.26,1315.4,21.421,Training,0.14513418997578573
190,0.098,0.64,20.87,78.5,10.09,1405.7,21.421,Training,0.10701666189487646
194,0.835,1.27,20.73,78.0,9.84,1091.0,21.421,Training,0.710607345650457
196,0.323,1.27,20.73,78.0,10.14,1207.1,21.421,Training,0.2469140534460751
197,0.222,1.27,20.73,78.0,10.02,1251.1,21.421,Training,0.20341848752124092
198,0.16,1.27,20.73,78.0,10.03,1301.8,21.421,Training,0.14513418997578573
201,0.044,1.27,20.73,78.0,10.24,1517.0,21.421,Training,0.10701666189487646
204,0.399,2.5,20.48,77.03,9.98,1148.9,21.421,Training,0.5827616168643116
206,0.184,2.5,20.48,77.03,10.06,1253.3,21.421,Training,0.20341848752124092
208,0.065,2.5,20.48,77.03,10.54,1443.5,21.421,Training,0.10701666189487646
