Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set
603,1.91,1.258,20.74,78.0,20.2,914.0,77.0,15.0,1.6,0.9,0.0,23.57,Validation
604,1.162,1.258,20.74,78.0,20.2,977.0,77.0,15.0,1.6,0.9,0.0,23.57,Training
605,1.038,1.258,20.74,78.0,20.0,989.0,77.0,15.0,1.6,0.9,0.0,23.57,Validation
606,0.563,1.258,20.74,78.0,20.4,1033.0,77.0,15.0,1.6,0.9,0.0,23.57,Training
607,0.303,1.258,20.74,78.0,21.5,1080.0,77.0,15.0,1.6,0.9,0.0,23.57,Training
608,0.135,1.258,20.74,78.0,20.3,1151.0,77.0,15.0,1.6,0.9,0.0,23.57,Training
610,0.045,1.258,20.74,78.0,20.8,1252.0,77.0,15.0,1.6,0.9,0.0,23.57,Training
611,0.027,1.258,20.74,78.0,21.9,1323.0,77.0,15.0,1.6,0.9,0.0,23.57,Training
612,6.9798,0.59,20.88,78.53,10.88,921.5,42.7,10.7,7.1,14.4,0.0,23.2,Validation
613,3.2174,0.59,20.88,78.53,10.88,968.9,42.7,10.7,7.1,14.4,0.0,23.2,Validation
614,2.0852,0.59,20.88,78.53,10.88,1017.8,42.7,10.7,7.1,14.4,0.0,23.2,Validation
615,0.8717,0.59,20.88,78.53,10.88,1084.6,42.7,10.7,7.1,14.4,0.0,23.2,Training
616,0.5217,0.59,20.88,78.53,10.88,1147.6,42.7,10.7,7.1,14.4,0.0,23.2,Training
617,0.2536,0.59,20.88,78.53,10.88,1237.2,42.7,10.7,7.1,14.4,0.0,23.2,Training
618,0.1686,0.59,20.88,78.53,10.88,1301.4,42.7,10.7,7.1,14.4,0.0,23.2,Training
619,7.232,0.59,20.88,78.53,10.88,785.2,42.7,10.7,7.1,14.4,0.0,23.2,Training
620,6.4533,0.59,20.88,78.53,10.88,844.1,42.7,10.7,7.1,14.4,0.0,23.2,Training
621,6.7579,0.59,20.88,78.53,10.88,881.9,42.7,10.7,7.1,14.4,0.0,23.2,Validation
622,4.25,0.59,20.88,78.53,10.88,933.0,42.7,10.7,7.1,14.4,0.0,23.2,Training
623,3.2964,0.59,20.88,78.53,10.88,952.6,42.7,10.7,7.1,14.4,0.0,23.2,Validation
624,0.3403,0.59,20.88,78.53,10.88,1161.7,42.7,10.7,7.1,14.4,0.0,23.2,Validation
625,2.9961,0.59,20.88,78.53,10.88,965.6,42.7,10.7,7.1,14.4,0.0,23.2,Training
626,2.2723,0.59,20.88,78.53,10.88,999.8,42.7,10.7,7.1,14.4,0.0,23.2,Training
627,0.8375,0.59,20.88,78.53,10.88,1066.1,42.7,10.7,7.1,14.4,0.0,23.2,Validation
628,0.1575,0.59,20.88,78.53,10.88,1233.8,42.7,10.7,7.1,14.4,0.0,23.2,Validation
629,5.7043,1.18,20.75,78.07,10.88,773.2,42.7,10.7,7.1,14.4,0.0,23.2,Training
630,6.3575,1.18,20.75,78.07,10.88,829.0,42.7,10.7,7.1,14.4,0.0,23.2,Training
631,4.5319,1.18,20.75,78.07,10.88,891.7,42.7,10.7,7.1,14.4,0.0,23.2,Training
633,1.6625,1.18,20.75,78.07,10.88,996.1,42.7,10.7,7.1,14.4,0.0,23.2,Training
634,0.9814,1.18,20.75,78.07,10.88,1047.1,42.7,10.7,7.1,14.4,0.0,23.2,Training
635,0.5424,1.18,20.75,78.07,10.88,1102.0,42.7,10.7,7.1,14.4,0.0,23.2,Training
636,0.3977,1.18,20.75,78.07,10.88,1141.7,42.7,10.7,7.1,14.4,0.0,23.2,Validation
637,0.2137,1.18,20.75,78.07,10.88,1226.5,42.7,10.7,7.1,14.4,0.0,23.2,Training
639,4.3233,1.76,20.63,77.61,10.88,749.4,42.7,10.7,7.1,14.4,0.0,23.2,Training
641,4.9722,1.76,20.63,77.61,10.88,883.7,42.7,10.7,7.1,14.4,0.0,23.2,Training
642,1.9295,1.76,20.63,77.61,10.88,960.8,42.7,10.7,7.1,14.4,0.0,23.2,Validation
643,2.3592,1.76,20.63,77.61,10.88,962.7,42.7,10.7,7.1,14.4,0.0,23.2,Training
644,1.1586,1.76,20.63,77.61,10.88,1034.9,42.7,10.7,7.1,14.4,0.0,23.2,Training
647,10.0378,0.59,10.44,88.97,10.88,817.0,42.7,10.7,7.1,14.4,0.0,23.2,Training
648,8.8067,0.59,10.44,88.97,10.88,864.4,42.7,10.7,7.1,14.4,0.0,23.2,Validation
649,6.7526,0.59,10.44,88.97,10.88,904.5,42.7,10.7,7.1,14.4,0.0,23.2,Validation
650,6.2996,0.59,10.44,88.97,10.88,922.1,42.7,10.7,7.1,14.4,0.0,23.2,Validation
651,0.5574,0.59,10.44,88.97,10.88,1157.0,42.7,10.7,7.1,14.4,0.0,23.2,Training
652,3.5289,0.59,10.44,88.97,10.88,958.6,42.7,10.7,7.1,14.4,0.0,23.2,Training
653,1.5373,0.59,10.44,88.97,10.88,1044.6,42.7,10.7,7.1,14.4,0.0,23.2,Training
654,0.1539,0.59,10.44,88.97,10.88,1295.3,42.7,10.7,7.1,14.4,0.0,23.2,Validation
655,11.0094,0.59,10.44,88.97,10.88,901.8,42.7,10.7,7.1,14.4,0.0,23.2,Validation
656,8.9756,0.59,10.44,88.97,10.88,908.8,42.7,10.7,7.1,14.4,0.0,23.2,Training
658,2.5072,0.59,10.44,88.97,10.88,1008.5,42.7,10.7,7.1,14.4,0.0,23.2,Training
659,1.0052,0.59,10.44,88.97,10.88,1099.5,42.7,10.7,7.1,14.4,0.0,23.2,Training
661,0.2088,0.59,10.44,88.97,10.88,1302.0,42.7,10.7,7.1,14.4,0.0,23.2,Training
663,5.4239,0.59,10.44,88.97,10.88,958.6,42.7,10.7,7.1,14.4,0.0,23.2,Validation
664,11.4041,0.59,10.44,88.97,10.88,907.0,42.7,10.7,7.1,14.4,0.0,23.2,Validation
665,3.8677,0.59,10.44,88.97,10.88,1004.5,42.7,10.7,7.1,14.4,0.0,23.2,Validation
666,2.2017,0.59,10.44,88.97,10.88,1059.8,42.7,10.7,7.1,14.4,0.0,23.2,Validation
667,1.2128,0.59,10.44,88.97,10.88,1118.9,42.7,10.7,7.1,14.4,0.0,23.2,Validation
668,0.6199,0.59,10.44,88.97,10.88,1211.9,42.7,10.7,7.1,14.4,0.0,23.2,Training
669,0.2564,0.59,10.44,88.97,10.88,1335.3,42.7,10.7,7.1,14.4,0.0,23.2,Validation
670,0.1167,0.59,10.44,88.97,10.88,1437.1,42.7,10.7,7.1,14.4,0.0,23.2,Training
671,11.3219,0.59,6.96,92.45,10.88,900.7,42.7,10.7,7.1,14.4,0.0,23.2,Validation
672,7.2795,0.59,6.96,92.45,10.88,939.4,42.7,10.7,7.1,14.4,0.0,23.2,Training
673,3.3667,0.59,6.96,92.45,10.88,1030.8,42.7,10.7,7.1,14.4,0.0,23.2,Validation
674,5.1542,0.59,6.96,92.45,10.88,979.0,42.7,10.7,7.1,14.4,0.0,23.2,Training
675,1.2998,0.59,6.96,92.45,10.88,1129.6,42.7,10.7,7.1,14.4,0.0,23.2,Validation
676,2.2588,0.59,6.96,92.45,10.88,1065.3,42.7,10.7,7.1,14.4,0.0,23.2,Validation
677,0.4796,0.59,6.96,92.45,10.88,1272.7,42.7,10.7,7.1,14.4,0.0,23.2,Training
678,0.6974,0.59,6.96,92.45,10.88,1191.8,42.7,10.7,7.1,14.4,0.0,23.2,Validation
679,2.968,0.59,6.96,92.45,10.88,1039.0,42.7,10.7,7.1,14.4,0.0,23.2,Training
680,1.7471,0.59,6.96,92.45,10.88,1103.6,42.7,10.7,7.1,14.4,0.0,23.2,Validation
681,0.9277,0.59,6.96,92.45,10.88,1174.3,42.7,10.7,7.1,14.4,0.0,23.2,Training
682,0.3358,0.59,6.96,92.45,10.88,1280.4,42.7,10.7,7.1,14.4,0.0,23.2,Validation
683,0.1929,0.59,6.96,92.45,10.88,1372.3,42.7,10.7,7.1,14.4,0.0,23.2,Training
684,4.5128,0.59,6.96,92.45,10.88,1058.0,42.7,10.7,7.1,14.4,0.0,23.2,Validation
685,1.9642,0.59,6.96,92.45,10.88,1122.3,42.7,10.7,7.1,14.4,0.0,23.2,Training
687,0.5366,0.59,6.96,92.45,10.88,1256.5,42.7,10.7,7.1,14.4,0.0,23.2,Validation
688,0.7992,0.59,6.96,92.45,10.88,1251.7,42.7,10.7,7.1,14.4,0.0,23.2,Validation
689,0.4074,0.59,6.96,92.45,10.88,1329.9,42.7,10.7,7.1,14.4,0.0,23.2,Validation
690,0.355,0.39,20.93,78.68,14.1,1169.0,29.0,25.0,7.0,16.0,3.0,21.0,Training
691,0.716,0.39,20.93,78.68,15.2,1105.4,29.0,25.0,7.0,16.0,3.0,21.0,Training
692,1.574,0.39,20.93,78.68,16.3,1034.3,29.0,25.0,7.0,16.0,3.0,21.0,Training
693,0.148,0.39,20.93,78.68,29.6,1195.6,29.0,25.0,7.0,16.0,3.0,21.0,Validation
694,0.226,0.39,20.93,78.68,28.9,1171.8,29.0,25.0,7.0,16.0,3.0,21.0,Training
695,0.755,0.39,20.93,78.68,27.5,1061.5,29.0,25.0,7.0,16.0,3.0,21.0,Validation
696,1.179,0.39,20.93,78.68,25.9,1036.8,29.0,25.0,7.0,16.0,3.0,21.0,Training
697,2.242,0.39,20.93,78.68,28.1,974.5,29.0,25.0,7.0,16.0,3.0,21.0,Training
698,3.889,0.39,20.93,78.68,24.8,928.5,29.0,25.0,7.0,16.0,3.0,21.0,Training
699,4.671,0.39,20.93,78.68,27.7,874.9,29.0,25.0,7.0,16.0,3.0,21.0,Training
700,4.025,0.39,20.93,78.68,30.4,854.6,29.0,25.0,7.0,16.0,3.0,21.0,Validation
701,5.142,0.39,20.93,78.68,25.5,848.4,29.0,25.0,7.0,16.0,3.0,21.0,Training
702,4.777,0.39,20.93,78.68,31.5,814.8,29.0,25.0,7.0,16.0,3.0,21.0,Training
703,0.064,1.28,20.74,77.98,16.8,1235.7,29.0,25.0,7.0,16.0,3.0,21.0,Training
704,0.175,1.28,20.74,77.98,14.9,1174.3,29.0,25.0,7.0,16.0,3.0,21.0,Training
705,0.266,1.28,20.74,77.98,16.1,1110.6,29.0,25.0,7.0,16.0,3.0,21.0,Training
706,0.931,1.28,20.74,77.98,15.7,998.1,29.0,25.0,7.0,16.0,3.0,21.0,Training
707,3.865,1.28,20.74,77.98,14.7,876.9,29.0,25.0,7.0,16.0,3.0,21.0,Training
708,5.528,1.28,20.74,77.98,15.3,838.4,29.0,25.0,7.0,16.0,3.0,21.0,Validation
710,5.533,1.28,20.74,77.98,14.9,734.3,29.0,25.0,7.0,16.0,3.0,21.0,Validation
711,8.428,1.28,20.74,77.98,16.3,704.3,29.0,25.0,7.0,16.0,3.0,21.0,Training
712,8.176,1.28,20.74,77.98,16.2,702.1,29.0,25.0,7.0,16.0,3.0,21.0,Validation
713,0.042,1.28,20.74,77.98,31.0,1194.5,29.0,25.0,7.0,16.0,3.0,21.0,Training
714,0.203,1.28,20.74,77.98,30.5,1087.2,29.0,25.0,7.0,16.0,3.0,21.0,Training
715,0.695,1.28,20.74,77.98,30.5,998.0,29.0,25.0,7.0,16.0,3.0,21.0,Training
716,1.759,1.28,20.74,77.98,29.4,925.7,29.0,25.0,7.0,16.0,3.0,21.0,Training
717,2.233,1.28,20.74,77.98,29.0,872.6,29.0,25.0,7.0,16.0,3.0,21.0,Training
718,3.109,1.276,20.74,77.984,23.3,874.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
719,2.355,1.276,20.74,77.984,25.1,880.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
720,1.23,1.276,20.74,77.984,31.4,934.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
721,1.358,1.276,20.74,77.984,24.0,952.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
722,1.287,1.276,20.74,77.984,22.5,958.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
723,1.412,1.276,20.74,77.984,21.7,963.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
724,0.777,1.276,20.74,77.984,32.5,974.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
725,0.984,1.276,20.74,77.984,21.3,987.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
727,0.4,1.276,20.74,77.984,36.1,1022.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
728,0.539,1.276,20.74,77.984,21.9,1035.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
729,0.486,1.276,20.74,77.984,22.0,1042.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
730,0.278,1.276,20.74,77.984,28.3,1073.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
731,0.138,1.276,20.74,77.984,24.8,1130.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
732,0.101,1.276,20.74,77.984,29.4,1145.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
733,0.052,1.276,20.74,77.984,27.0,1192.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
734,0.034,1.276,20.74,77.984,29.2,1220.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
735,0.528,1.276,20.74,77.984,49.3,961.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
737,0.115,1.276,20.74,77.984,50.5,1090.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
738,0.08,1.276,20.74,77.984,47.8,1124.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
739,1.82,0.615,10.0,89.385,18.9,1025.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
740,1.34,0.615,10.0,89.385,17.5,1057.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
741,1.109,0.615,10.0,89.385,19.7,1067.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
742,1.137,0.615,10.0,89.385,17.7,1072.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
743,1.005,0.615,10.0,89.385,18.3,1081.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
744,0.818,0.615,10.0,89.385,20.2,1092.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
745,0.732,0.615,10.0,89.385,17.7,1111.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
746,0.646,0.615,10.0,89.385,17.3,1124.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
747,0.569,0.615,10.0,89.385,17.7,1127.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
748,3.286,1.276,20.74,77.984,21.7,715.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
749,2.584,1.276,20.74,77.984,21.8,753.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
750,2.423,1.276,20.74,77.984,21.5,763.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
751,2.566,1.276,20.74,77.984,19.4,774.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
752,2.484,1.276,20.74,77.984,21.1,785.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
753,2.742,1.276,20.74,77.984,19.7,786.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
755,1.961,0.642,20.87,78.488,19.6,970.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
756,0.917,0.642,20.87,78.488,21.0,1032.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
757,0.873,0.642,20.87,78.488,19.9,1039.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
759,0.463,0.642,20.87,78.488,22.2,1081.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
760,0.11,0.642,20.87,78.488,22.1,1187.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
761,0.973,1.276,20.74,77.984,26.4,1000.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
762,0.208,1.276,20.74,77.984,26.2,1100.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
763,0.123,1.276,20.74,77.984,25.5,1137.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
764,0.131,1.276,20.74,77.984,21.8,1145.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
765,0.072,1.276,20.74,77.984,26.1,1172.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
766,0.07,1.276,20.74,77.984,21.9,1187.0,29.0,25.0,7.0,16.0,3.0,19.91,Training
767,0.064,1.276,20.74,77.984,22.2,1194.0,29.0,25.0,7.0,16.0,3.0,19.91,Validation
769,0.567,1.1282,21.0,77.8718,2.69,1290.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
771,1.417,1.1058,21.0,77.8942,2.99,1147.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
772,0.878,1.1058,21.0,77.8942,3.09,1210.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
773,0.368,1.0723,21.0,77.9277,2.52,1331.0,99.6,0.0,0.0,0.0,0.4,26.4,Validation
774,0.659,1.1952,21.0,77.8048,3.23,1221.0,99.6,0.0,0.0,0.0,0.4,26.4,Validation
775,0.1095,1.0947,21.0,77.9053,6.64,1363.0,99.6,0.0,0.0,0.0,0.4,26.4,Validation
776,0.268,1.1393,21.0,77.8607,6.08,1244.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
777,0.1062,1.1729,21.0,77.8272,6.81,1364.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
778,0.492,1.1282,21.0,77.8718,6.26,1168.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
779,0.393,1.1952,21.0,77.8048,7.39,1168.0,99.6,0.0,0.0,0.0,0.4,26.4,Validation
780,0.57,1.2399,21.0,77.7601,7.69,1127.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
781,1.118,1.2846,21.0,77.7155,8.27,1070.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
782,0.265,1.3627,21.0,77.6373,7.34,1217.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
784,1.164,1.117,21.0,77.883,8.07,1070.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
785,0.196,0.5027,21.0,78.4974,6.59,1278.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
786,0.451,0.5585,21.0,78.4415,7.37,1173.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
787,0.714,0.6032,21.0,78.3968,7.74,1126.0,99.6,0.0,0.0,0.0,0.4,26.4,Validation
788,1.515,0.6367,21.0,78.3633,8.19,1053.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
789,1.231,2.4462,21.0,76.5538,8.2,1070.0,99.6,0.0,0.0,0.0,0.4,26.4,Training
790,0.348,1.3828,21.0,77.6172,5.98,1201.0,77.0,15.0,1.6,0.9,0.0,23.57,Validation
791,0.517,1.4603,21.0,77.5397,6.12,1167.0,77.0,15.0,1.6,0.9,0.0,23.57,Training
792,0.813,1.4732,21.0,77.5268,6.01,1128.0,77.0,15.0,1.6,0.9,0.0,23.57,Validation
793,0.257,1.3064,21.0,77.6936,5.92,1232.0,42.0,1.0,0.0,0.0,0.0,22.88,Training
794,0.533,1.6575,21.0,77.3425,6.04,1175.0,42.0,1.0,0.0,0.0,0.0,22.88,Training
795,0.471,1.798,21.0,77.202,5.98,1193.0,42.0,1.0,0.0,0.0,0.0,22.88,Training
796,2.488,1.9104,21.0,77.0896,5.57,1065.0,42.0,1.0,0.0,0.0,0.0,22.88,Training
797,0.859,1.5732,21.0,77.4268,6.17,1136.0,42.0,1.0,0.0,0.0,0.0,22.88,Validation
798,0.272,1.2034,21.0,77.7966,6.14,1210.0,89.2,2.0,0.0,0.0,0.0,24.6,Training
799,0.511,1.0951,21.0,77.9049,6.27,1148.0,89.2,2.0,0.0,0.0,0.0,24.6,Training
800,1.681,1.6246,21.0,77.3754,5.73,1055.0,89.2,2.0,0.0,0.0,0.0,24.6,Training
801,0.703,1.408,21.0,77.592,6.36,1123.0,89.2,2.0,0.0,0.0,0.0,24.6,Training
802,1.422,0.9463,21.0,78.0537,5.26,1095.0,79.8,10.0,0.0,0.0,0.0,25.5,Training
803,0.633,1.3085,21.0,77.6915,5.23,1162.0,79.8,10.0,0.0,0.0,0.0,25.5,Training
804,0.279,1.3085,21.0,77.6915,5.22,1225.0,79.8,10.0,0.0,0.0,0.0,25.5,Training
805,0.518,1.0982,21.0,77.9018,5.76,1165.0,79.8,10.0,0.0,0.0,0.0,25.5,Validation
806,0.833,1.0398,21.0,77.9602,5.77,1133.0,79.8,10.0,0.0,0.0,0.0,25.5,Training
807,0.112,1.6929,21.0,0.0,16.1,1220.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
809,0.149,1.8351,21.0,0.0,17.0,1188.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
810,0.729,0.7754,21.0,0.0,17.26,1054.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
811,0.299,1.0855,21.0,0.0,17.3,1140.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
812,0.296,1.3957,21.0,0.0,18.1,1105.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
813,0.288,1.3569,21.0,0.0,18.2,1112.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
814,0.275,1.512,21.0,0.0,17.9,1108.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
815,0.19,1.3698,21.0,0.0,34.11,1107.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
816,0.187,1.2535,21.0,0.0,33.85,1092.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
817,0.25,1.2148,21.0,0.0,34.59,1080.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
818,0.418,1.4215,21.0,0.0,35.95,1022.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
819,0.532,0.2511,4.0,0.0,11.96,1286.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
820,1.309,0.256,4.0,0.0,12.4,1205.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
821,0.783,0.2585,4.0,0.0,12.26,1244.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
822,2.498,0.256,4.0,0.0,12.55,1155.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
823,1.806,0.2634,4.0,0.0,12.42,1181.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
824,0.483,0.2732,4.0,0.0,12.22,1290.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
825,2.711,0.2511,4.0,0.0,12.35,1154.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
826,0.77,0.2486,4.0,0.0,12.66,1240.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
827,2.039,0.2486,4.0,0.0,12.87,1173.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
828,0.365,0.2732,4.0,0.0,15.12,1317.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
829,0.232,0.2511,4.0,0.0,14.8,1374.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
830,0.53,0.2732,4.0,0.0,15.42,1274.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
831,0.79,0.2806,4.0,0.0,15.56,1229.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
832,1.05,0.2757,4.0,0.0,15.83,1198.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
833,2.2,0.2782,4.0,0.0,15.98,1154.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
834,0.653,0.1058,4.0,0.0,12.54,1231.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
835,1.279,0.1206,4.0,0.0,12.65,1193.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
837,2.12,0.1231,4.0,0.0,13.0,1157.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
839,0.215,0.1182,4.0,0.0,12.16,1334.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
840,1.715,0.5268,4.0,0.0,12.59,1186.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
841,0.942,0.5095,4.0,0.0,12.27,1243.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
842,0.403,0.5268,4.0,0.0,11.87,1324.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
843,1.967,0.5194,4.0,0.0,12.4,1169.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
845,0.4,0.5169,4.0,0.0,11.61,1330.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
846,0.822,0.3077,4.0,0.0,53.8,1110.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
847,0.599,0.2978,4.0,0.0,50.09,1147.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
848,0.253,0.2978,4.0,0.0,49.28,1235.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
849,1.573,0.2585,4.0,0.0,51.99,1067.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
850,2.613,0.2609,4.0,0.0,52.21,1030.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
851,0.343,1.2637,20.7429,77.9934,11.25,1169.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
852,0.793,1.1122,20.7747,78.113,11.89,1103.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
853,1.293,1.2007,20.7562,78.0432,12.8,1050.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
854,1.593,1.5402,20.6848,77.7749,11.35,1034.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
855,0.355,1.0996,20.7774,78.123,10.45,1174.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
856,0.357,1.2259,20.7509,78.0232,10.54,1162.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
857,1.385,1.2385,20.7482,78.0133,11.59,1052.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
858,0.792,1.3141,20.7323,77.9536,11.25,1101.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
859,0.233,1.3015,20.735,77.9635,10.57,1201.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
860,0.125,0.4761,20.9084,78.6155,10.34,1256.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
861,0.43,0.5401,20.8949,78.565,11.2,1161.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
862,0.51,0.5273,20.8976,78.5751,10.9,1148.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
863,1.3,0.5145,20.9003,78.5852,11.42,1087.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
864,0.8,0.5273,20.8976,78.5751,11.28,1120.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
865,0.255,0.4889,20.9057,78.6054,10.57,1200.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
866,1.545,1.087,20.7801,78.133,14.8,1008.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
869,0.18,1.3519,20.7244,77.9237,34.11,1107.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
870,0.245,1.2007,20.7562,78.0432,34.59,1080.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
871,0.415,1.4022,20.7138,77.884,35.95,1022.0,22.52,30.58,11.23,19.52,0.0,22.0,Training
872,0.125,0.4761,20.9084,78.6155,10.34,1256.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
873,0.43,0.5401,20.8949,78.565,11.2,1161.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
874,0.51,0.5273,20.8976,78.5751,10.9,1148.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
875,1.3,0.5145,20.9003,78.5852,11.42,1087.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
876,0.8,0.5273,20.8976,78.5751,11.28,1120.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
877,0.255,0.4889,20.9057,78.6054,10.57,1200.0,22.52,30.58,11.23,19.52,0.0,22.0,Validation
878,0.303,0.9554,21.0,0.0,15.8,1153.0,29.0,25.0,7.0,16.0,3.0,21.7,Training
